time,demo_network.H_5.sink.sink throughput
0.000035713,23.8738
0.000070713,15.9159
0.000105713,15.9159
0.000140713,16.384
0.000175713,15.9159
0.000210713,15.9159
0.000245713,15.9159
0.000280713,15.9159
0.000315713,15.9159
0.000350713,15.9159
0.000385713,15.9159
0.000420713,15.9159
0.000455713,15.9159
0.000490713,15.4478
0.000525713,15.9159
0.000560713,16.384
0.000595713,15.4478
0.000630713,15.9159
0.000665713,15.9159
0.000700713,15.9159
0.000735713,15.9159
0.000770713,15.9159
0.000805713,15.9159
0.000840713,15.9159
0.000875713,15.9159
0.000910713,15.9159
0.000945713,15.4478
0.000980713,15.9159
0.001015713,15.9159
0.001050713,15.4478
0.001085713,16.384
0.001120713,15.4478
0.001155713,15.9159
0.001190713,16.384
0.001225713,15.4478
0.001260713,15.4478
0.001295713,16.384
0.001330713,14.9797
0.001365713,15.4478
0.001400713,16.384
0.001435713,15.9159
0.001470713,15.9159
0.001505713,15.9159
0.001540713,15.9159
0.001575713,15.9159
0.001610713,15.9159
0.001645713,16.384
0.001680713,15.9159
0.001715713,15.9159
0.001750713,15.9159
0.001785713,15.9159
0.001820713,15.9159
0.001855713,16.384
0.001890713,15.9159
0.001925713,15.9159
0.001960713,15.9159
0.001995713,15.9159
0.002030713,15.9159
0.002065713,16.384
0.002100713,15.9159
0.002135713,15.9159
0.002170713,15.9159
0.002205713,15.9159
0.002240713,15.9159
0.002275713,16.384
0.002310713,15.9159
0.002345713,15.9159
0.002380713,15.9159
0.002415713,15.9159
0.002450713,15.9159
0.002485713,16.384
0.002520713,15.9159
0.002555713,15.9159
0.002590713,15.9159
0.002625713,15.9159
0.002660713,15.9159
0.002695713,16.384
0.002730713,15.9159
0.002765713,15.9159
0.002800713,15.9159
0.002835713,15.9159
0.002870713,15.9159
0.002905713,16.384
0.002940713,15.9159
0.002975713,15.9159
0.003010713,15.9159
0.003045713,15.9159
0.003080713,15.9159
0.003115713,16.384
0.003150713,15.9159
0.003185713,15.9159
0.003220713,15.9159
0.003255713,15.9159
0.003290713,15.9159
0.003325713,15.9159
0.003360713,16.384
0.003395713,15.9159
0.003430713,15.9159
0.003465713,15.9159
0.003500713,15.9159
0.003535713,15.9159
0.003570713,16.384
0.003605713,15.9159
0.003640713,15.9159
0.003675713,15.9159
0.003710713,15.9159
0.003745713,15.9159
0.003780713,16.384
0.003815713,15.9159
0.003850713,15.9159
0.003885713,15.9159
0.003920713,15.9159
0.003955713,15.9159
0.003990713,16.384
0.004025713,15.9159
0.004060713,15.9159
0.004095713,15.9159
0.004130713,15.9159
0.004165713,15.9159
0.004200713,16.384
0.004235713,15.9159
0.004270713,15.9159
0.004305713,15.9159
0.004340713,15.9159
0.004375713,15.9159
0.004410713,16.384
0.004445713,15.9159
0.004480713,15.9159
0.004515713,15.9159
0.004550713,15.9159
0.004585713,15.9159
0.004620713,16.384
0.004655713,15.9159
0.004690713,15.9159
0.004725713,15.9159
0.004760713,15.9159
0.004795713,15.9159
0.004830713,15.9159
0.004865713,16.384
0.004900713,15.9159
0.004935713,15.9159
0.004970713,15.9159
0.005005713,15.9159
0.005040713,15.9159
0.005075713,16.384
0.005110713,15.9159
0.005145713,15.9159
0.005180713,15.9159
0.005215713,15.9159
0.005250713,15.9159
0.005285713,16.384
0.005320713,15.9159
0.005355713,15.9159
0.005390713,15.9159
0.005425713,15.9159
0.005460713,15.9159
0.005495713,16.384
0.005530713,15.9159
0.005565713,15.9159
0.005600713,15.9159
0.005635713,15.9159
0.005670713,15.9159
0.005705713,16.384
0.005740713,15.9159
0.005775713,15.9159
0.005810713,15.9159
0.005845713,15.9159
0.005880713,15.9159
0.005915713,16.384
0.005950713,15.9159
0.005985713,15.9159
0.006020713,15.9159
0.006055713,15.9159
0.006090713,15.9159
0.006125713,16.384
0.006160713,15.9159
0.006195713,15.9159
0.006230713,15.9159
0.006265713,15.9159
0.006300713,15.9159
0.006335713,16.384
0.006370713,15.9159
0.006405713,15.9159
0.006440713,15.9159
0.006475713,15.9159
0.006510713,15.9159
0.006545713,15.9159
0.006580713,16.384
0.006615713,15.9159
0.006650713,15.9159
0.006685713,15.9159
0.006720713,15.9159
0.006755713,15.9159
0.006790713,16.384
0.006825713,15.9159
0.006860713,15.9159
0.006895713,15.9159
0.006930713,15.9159
0.006965713,15.9159
0.007000713,16.384
0.007035713,15.9159
0.007070713,15.9159
0.007105713,15.9159
0.007140713,15.9159
0.007175713,15.9159
0.007210713,16.384
0.007245713,15.9159
0.007280713,15.9159
0.007315713,15.9159
0.007350713,15.9159
0.007385713,15.9159
0.007420713,16.384
0.007455713,15.9159
0.007490713,15.9159
0.007525713,15.9159
0.007560713,15.9159
0.007595713,15.9159
0.007630713,16.384
0.007665713,15.9159
0.007700713,15.9159
