time,demo_network.SW_2.port[2].obuf.Throughput-obuf,
0.000049001,31.7806,26.079545
0.000098001,32.1149,
0.000147001,31.7806,
0.000196001,32.1149,
0.000245001,32.1149,
0.000294001,31.7806,
0.000343001,32.1149,
0.000392001,32.1149,
0.000441001,31.7806,
0.000490001,32.1149,
0.000539001,32.1149,
0.000588001,31.7806,
0.000637001,32.1149,
0.000686001,31.7806,
0.000735001,32.1149,
0.000784001,32.1149,
0.000833001,31.7806,
0.000882001,32.1149,
0.000931001,32.1149,
0.000980001,31.7806,
0.001029001,32.1149,
0.001078001,32.1149,
0.001127001,31.7806,
0.001176001,32.1149,
0.001225001,32.1149,
0.001274001,31.7793,
0.001323001,32.1149,
0.001372001,32.1149,
0.001421001,31.7806,
0.001470001,32.1149,
0.001519001,32.1149,
0.001568001,31.7806,
0.001617001,32.1149,
0.001666001,32.1149,
0.001715001,31.7806,
0.001764001,32.1149,
0.001813001,32.1149,
0.001862001,31.7806,
0.001911001,32.1149,
0.001960001,32.1149,
0.002009001,31.7806,
0.002058001,32.1149,
0.002107001,32.1149,
0.002156001,31.7806,
0.002205001,32.1149,
0.002254001,31.7806,
0.002303001,32.1149,
0.002352001,32.1149,
0.002401001,31.7806,
0.002450001,32.1149,
0.002499001,32.1149,
0.002548001,31.7793,
0.002597001,32.1149,
0.002646001,32.1149,
0.002695001,31.7806,
0.002744001,32.1149,
0.002793001,32.1149,
0.002842001,31.7806,
0.002891001,32.1149,
0.002940001,32.1149,
0.002989001,31.7806,
0.003038001,32.1149,
0.003087001,32.1149,
0.003136001,31.7806,
0.003185001,32.1149,
0.003234001,32.1149,
0.003283001,31.7806,
0.003332001,32.1149,
0.003381001,32.1149,
0.003430001,31.7806,
0.003479001,32.1149,
0.003528001,32.1149,
0.003577001,31.7806,
0.003626001,32.1149,
0.003675001,32.1149,
0.003724001,31.7806,
0.003773001,32.1149,
0.003822001,32.1149,
0.003871001,31.7793,
0.003920001,32.1149,
0.003969001,31.7806,
