time,demo_network.H_3.sink.sink throughput
0.000053129,16.384
0.000088129,15.9159
0.000123129,15.9159
0.000158129,15.9159
0.000193129,15.9159
0.000228129,15.9159
0.000263129,13.1072
0.000298129,6.5536
0.000333129,6.5536
0.000368129,6.5536
0.000403129,7.02171
0.000438129,7.02171
0.000473129,7.48983
0.000508129,7.48983
0.000543129,7.48983
0.000578129,8.42606
0.000613129,7.95794
0.000648129,8.89417
0.000683129,8.42606
0.000718129,9.36229
0.000753129,9.36229
0.000788129,9.8304
0.000823129,9.8304
0.000858129,10.2985
0.000893129,10.7666
0.000928129,11.2347
0.000963129,11.7029
0.000998129,12.171
0.001033129,12.171
0.001068129,12.6391
0.001103129,13.1072
0.001138129,14.0434
0.001173129,14.0434
0.001208129,14.5115
0.001243129,15.4478
0.001278129,15.4478
0.001313129,15.9159
0.001348129,15.4478
0.001383129,14.9797
0.001418129,14.0434
0.001453129,14.9797
0.001488129,14.9797
0.001523129,15.9159
0.001558129,15.9159
0.001593129,15.9159
0.001628129,16.384
0.001663129,14.9797
0.001698129,14.5115
0.001733129,15.4478
0.001768129,15.9159
0.001803129,16.8521
0.001838129,16.384
0.001873129,15.9159
0.001908129,17.7883
0.001943129,14.5115
0.001978129,14.9797
0.002013129,15.4478
0.002048129,16.384
0.002083129,16.384
0.002118129,16.384
0.002153129,15.9159
0.002188129,16.8521
0.002223129,14.0434
0.002258129,14.9797
0.002293129,14.9797
0.002328129,15.9159
0.002363129,16.384
0.002398129,16.8521
0.002433129,15.9159
0.002468129,16.8521
0.002503129,14.9797
0.002538129,14.0434
0.002573129,15.4478
0.002608129,15.4478
0.002643129,15.9159
0.002678129,16.384
0.002713129,15.9159
0.002748129,16.8521
0.002783129,15.9159
0.002818129,14.9797
0.002853129,15.4478
0.002888129,16.384
0.002923129,16.384
0.002958129,16.384
0.002993129,15.9159
0.003028129,17.3202
0.003063129,14.5115
0.003098129,14.9797
0.003133129,15.9159
0.003168129,16.384
0.003203129,16.8521
0.003238129,16.384
0.003273129,16.8521
0.003308129,17.7883
0.003343129,15.4478
0.003378129,16.384
0.003413129,16.8521
0.003448129,17.7883
0.003483129,17.7883
0.003518129,17.3202
0.003553129,17.7883
0.003588129,15.9159
0.003623129,15.4478
0.003658129,15.9159
0.003693129,16.8521
0.003728129,16.8521
0.003763129,17.3202
0.003798129,17.3202
0.003833129,17.3202
0.003868129,15.4478
0.003903129,14.9797
0.003938129,15.9159
0.003973129,15.9159
0.004008129,16.8521
0.004043129,16.384
0.004078129,16.8521
0.004113129,17.7883
0.004148129,15.4478
0.004183129,16.384
0.004218129,16.8521
0.004253129,17.3202
0.004288129,16.8521
0.004323129,16.8521
0.004358129,17.3202
0.004393129,14.5115
0.004428129,14.5115
0.004463129,15.4478
0.004498129,15.9159
0.004533129,16.8521
0.004568129,16.384
0.004603129,16.384
0.004638129,17.3202
0.004673129,15.9159
0.004708129,15.9159
0.004743129,16.384
0.004778129,17.3202
