time,demo_network.H_2.obuf.Throughput-obuf
0.000040001,31.9648
0.000080001,19.6768
0.000120001,15.9904
0.000160001,15.1712
0.000200001,14.76
0.000240001,8.208
0.000280001,6.5696
0.000320001,6.9792
0.000360001,6.568
0.000400001,7.3888
0.000440001,7.3888
0.000480001,7.7984
0.000520001,7.7968
0.000560001,8.208
0.000600001,8.6176
0.000640001,9.0272
0.000680001,9.0272
0.000720001,9.4352
0.000760001,10.256
0.000800001,10.256
0.000840001,10.6656
0.000880001,11.0736
0.000920001,11.4848
0.000960001,11.8944
0.001000001,12.7136
0.001040001,13.1216
0.001080001,13.1232
0.001120001,14.352
0.001160001,14.7616
0.001200001,15.1696
0.001240001,15.9904
0.001280001,16.4
0.001320001,17.2192
0.001360001,15.9904
0.001400001,14.3504
0.001440001,14.7616
0.001480001,15.5808
0.001520001,15.9904
0.001560001,16.808
0.001600001,16.8096
0.001640001,13.5328
0.001680001,13.5328
0.001720001,14.3504
0.001760001,14.7616
0.001800001,15.1712
0.001840001,15.9904
0.001880001,15.9888
0.001920001,13.1232
0.001960001,13.9424
0.002000001,14.352
0.002040001,14.76
0.002080001,15.1712
0.002120001,16.4
0.002160001,15.5808
0.002200001,13.1232
0.002240001,13.1216
0.002280001,13.9424
0.002320001,14.7616
0.002360001,15.1712
0.002400001,15.5792
0.002440001,16.4
0.002480001,14.352
0.002520001,13.5328
0.002560001,13.9408
0.002600001,14.7616
0.002640001,15.1712
0.002680001,15.9904
0.002720001,16.4
0.002760001,14.3504
0.002800001,13.5328
0.002840001,14.352
0.002880001,14.7616
0.002920001,15.5792
0.002960001,15.9904
0.003000001,15.5808
0.003040001,13.1232
0.003080001,13.5312
0.003120001,13.9424
0.003160001,14.352
0.003200001,15.1712
0.003240001,15.9888
0.003280001,15.1712
0.003320001,12.304
0.003360001,12.7136
0.003400001,13.5328
0.003440001,13.5312
0.003480001,14.352
0.003520001,15.1712
0.003560001,13.5328
0.003600001,13.1216
0.003640001,13.1232
0.003680001,13.9424
0.003720001,14.352
0.003760001,14.76
0.003800001,15.5808
0.003840001,13.9424
0.003880001,13.1232
0.003920001,13.9408
0.003960001,14.352
0.004000001,14.7616
0.004040001,15.5808
0.004080001,15.9888
0.004120001,13.1232
0.004160001,13.5328
0.004200001,13.9424
0.004240001,14.352
0.004280001,15.1696
0.004320001,15.5808
0.004360001,13.1232
0.004400001,13.5328
0.004440001,13.9408
0.004480001,14.7616
0.004520001,15.1712
0.004560001,15.5808
0.004600001,16.3984
0.004640001,13.5328
0.004680001,13.1232
0.004720001,13.5328
0.004760001,14.352
0.004800001,14.76
0.004840001,15.5808
0.004880001,14.352
0.004920001,13.1232
0.004960001,13.5312
0.005000001,14.352
0.005040001,14.7616
0.005080001,15.5808
0.005120001,15.9888
0.005160001,13.5328
0.005200001,12.304
