time,demo_network.SW_2.port[2].obuf.Throughput-obuf,
0.000049001,31.7806,4.903741905
0.000098001,32.1149,
0.000147001,31.7806,
0.000196001,32.1149,
0.000245001,32.1149,
0.000294001,15.3966,
0.000343001,13.056,
0.000392001,13.7247,
0.000441001,14.3935,
0.000490001,15.0622,
0.000539001,15.3966,
0.000588001,16.3997,
0.000637001,17.0684,
0.000686001,17.7371,
0.000735001,18.7402,
0.000784001,19.0746,
0.000833001,20.7464,
0.000882001,21.0808,
0.000931001,22.4183,
0.000980001,23.7558,
0.001029001,24.4245,
0.001078001,26.0963,
0.001127001,27.0994,
0.001176001,28.4369,
0.001225001,30.1074,
0.001274001,31.4462,
0.001323001,32.1149,
0.001372001,32.1149,
0.001421001,28.7713,
0.001470001,28.4369,
0.001519001,30.1087,
0.001568001,31.1118,
0.001617001,32.1149,
0.001666001,32.1149,
0.001715001,29.44,
0.001764001,29.1056,
0.001813001,30.7775,
0.001862001,31.7806,
0.001911001,31.7806,
0.001960001,31.4462,
0.002009001,28.1025,
0.002058001,29.44,
0.002107001,30.7775,
0.002156001,31.7806,
0.002205001,32.1149,
0.002254001,30.7775,
0.002303001,28.7713,
0.002352001,30.1087,
0.002401001,31.7806,
0.002450001,31.7806,
0.002499001,32.1149,
0.002548001,28.4369,
0.002597001,29.4387,
0.002646001,30.7775,
0.002695001,31.7806,
0.002744001,32.1149,
0.002793001,30.7775,
0.002842001,28.1025,
0.002891001,29.7744,
0.002940001,31.1118,
0.002989001,31.7806,
0.003038001,32.1149,
0.003087001,29.7744,
0.003136001,28.7713,
0.003185001,30.4431,
0.003234001,31.7806,
0.003283001,31.7806,
0.003332001,32.1149,
0.003381001,28.4369,
0.003430001,28.7713,
0.003479001,30.1087,
0.003528001,31.7806,
0.003577001,31.7806,
0.003626001,32.1149,
0.003675001,28.7713,
0.003724001,28.4369,
0.003773001,30.1087,
0.003822001,31.4462,
0.003871001,31.7793,
0.003920001,32.1149,
0.003969001,29.44,
0.004018001,29.1056,
0.004067001,30.7775,
0.004116001,32.1149,
0.004165001,31.7806,
0.004214001,31.1118,
0.004263001,28.7713,
0.004312001,30.4431,
0.004361001,31.7806,
0.004410001,32.1149,
0.004459001,31.7806,
0.004508001,28.4369,
0.004557001,30.1087,
0.004606001,31.7806,
0.004655001,31.7806,
0.004704001,32.1149,
0.004753001,29.44,
0.004802001,29.1056,
0.004851001,30.7775,
0.004900001,32.1149,
0.004949001,31.7806,
0.004998001,30.7775,
0.005047001,28.1025,
0.005096001,29.7744,
0.005145001,31.1118,
0.005194001,31.7793,
0.005243001,32.1149,
0.005292001,30.1087,
0.005341001,27.4338,
0.005390001,29.1056,
0.005439001,30.4431,
0.005488001,31.7806,
0.005537001,32.1149,
0.005586001,31.7806,
0.005635001,28.4369,
0.005684001,29.7744,
0.005733001,31.1118,
0.005782001,32.1149,
0.005831001,31.7806,
0.005880001,29.44,
0.005929001,29.1056,
0.005978001,30.4431,
0.006027001,31.7806,
0.006076001,32.1149,
0.006125001,31.7806,
0.006174001,28.1025,
0.006223001,28.4369,
0.006272001,29.44,
0.006321001,31.4462,
0.006370001,32.1149,
0.006419001,32.1149,
0.006468001,30.1087,
0.006517001,28.4369,
0.006566001,30.1074,
0.006615001,31.4462,
0.006664001,32.1149,
0.006713001,32.1149,
0.006762001,29.44,
0.006811001,28.7713,
0.006860001,30.4431,
0.006909001,31.7806,
0.006958001,31.7806,
0.007007001,32.1149,
0.007056001,28.4369,
0.007105001,28.4369,
0.007154001,30.4431,
0.007203001,31.4462,
0.007252001,32.1149,
0.007301001,32.1149,
0.007350001,28.7713,
0.007399001,28.7713,
0.007448001,30.7775,
0.007497001,31.7806,
0.007546001,32.1149,
0.007595001,31.4462,
0.007644001,28.1025,
0.007693001,29.7744,
0.007742001,30.7775,
0.007791001,32.1149,
0.007840001,32.1149,
0.007889001,30.4431,
0.007938001,30.1074,
0.007987001,31.7806,
0.008036001,31.7806,
0.008085001,32.1149,
0.008134001,28.4369,
0.008183001,28.1025,
0.008232001,29.7744,
0.008281001,31.1118,
0.008330001,32.1149,
0.008379001,31.7806,
0.008428001,30.1087,
0.008477001,29.7744,
0.008526001,31.4462,
0.008575001,31.7806,
0.008624001,32.1149,
0.008673001,30.1087,
0.008722001,30.1087,
0.008771001,31.4462,
