time,demo_network.SW_2.port[2].obuf.Throughput-obuf,
0.000049001,31.7806,30.50672381
0.000098001,32.1149,
0.000147001,31.7806,
0.000196001,32.1149,
0.000245001,32.1149,
0.000294001,31.7806,
0.000343001,31.4462,
0.000392001,31.7806,
0.000441001,32.1149,
0.000490001,31.7806,
0.000539001,32.1149,
0.000588001,32.1149,
0.000637001,31.7806,
0.000686001,32.1149,
0.000735001,32.1149,
0.000784001,31.7806,
0.000833001,32.1149,
0.000882001,32.1149,
0.000931001,31.7806,
0.000980001,32.1149,
0.001029001,32.1149,
0.001078001,31.7806,
0.001127001,32.1149,
0.001176001,32.1149,
0.001225001,31.7793,
0.001274001,32.1149,
0.001323001,32.1149,
0.001372001,31.7806,
0.001421001,32.1149,
0.001470001,32.1149,
0.001519001,31.7806,
0.001568001,32.1149,
0.001617001,32.1149,
0.001666001,31.7806,
0.001715001,32.1149,
0.001764001,32.1149,
0.001813001,31.7806,
0.001862001,32.1149,
0.001911001,32.1149,
0.001960001,31.7806,
0.002009001,32.1149,
0.002058001,31.7806,
0.002107001,32.1149,
0.002156001,32.1149,
0.002205001,31.7806,
0.002254001,32.1149,
0.002303001,32.1149,
0.002352001,31.7806,
0.002401001,32.1149,
0.002450001,32.1149,
0.002499001,31.7793,
0.002548001,32.1162,
0.002597001,32.1149,
0.002646001,31.7793,
0.002695001,32.1149,
0.002744001,32.1149,
0.002793001,31.7806,
0.002842001,32.1149,
0.002891001,32.1149,
0.002940001,31.7806,
0.002989001,32.1149,
0.003038001,32.1149,
0.003087001,31.7806,
0.003136001,32.1149,
0.003185001,32.1149,
0.003234001,31.7806,
0.003283001,32.1149,
0.003332001,32.1149,
0.003381001,31.7806,
0.003430001,32.1149,
0.003479001,32.1149,
0.003528001,31.7806,
0.003577001,32.1149,
0.003626001,31.7806,
0.003675001,32.1149,
0.003724001,32.1149,
0.003773001,31.7806,
0.003822001,32.1149,
0.003871001,32.1149,
0.003920001,31.7793,
0.003969001,32.1149,
0.004018001,32.1149,
0.004067001,31.7806,
0.004116001,32.1149,
0.004165001,32.1149,
0.004214001,31.7806,
0.004263001,32.1149,
0.004312001,32.1149,
0.004361001,31.7806,
0.004410001,32.1149,
0.004459001,32.1149,
0.004508001,31.7806,
0.004557001,32.1149,
0.004606001,32.1149,
0.004655001,31.7806,
0.004704001,32.1149,
0.004753001,32.1149,
0.004802001,31.7806,
0.004851001,32.1149,
0.004900001,32.1149,
0.004949001,31.7806,
0.004998001,32.1149,
0.005047001,32.1149,
0.005096001,31.7806,
0.005145001,32.1149,
0.005194001,32.1149,
0.005243001,31.7793,
0.005292001,32.1149,
0.005341001,31.7806,
0.005390001,32.1149,
0.005439001,32.1149,
0.005488001,31.7806,
0.005537001,32.1149,
0.005586001,32.1149,
0.005635001,31.7806,
0.005684001,32.1149,
0.005733001,32.1149,
0.005782001,31.7806,
0.005831001,32.1149,
0.005880001,32.1149,
0.005929001,31.7806,
0.005978001,32.1149,
0.006027001,32.1149,
0.006076001,31.7806,
0.006125001,32.1149,
0.006174001,32.1149,
0.006223001,31.7806,
0.006272001,32.1149,
0.006321001,32.1149,
0.006370001,31.7806,
0.006419001,32.1149,
0.006468001,32.1149,
0.006517001,31.7793,
0.006566001,32.1149,
0.006615001,32.1149,
0.006664001,31.7806,
0.006713001,32.1149,
0.006762001,32.1149,
0.006811001,31.7806,
0.006860001,32.1149,
0.006909001,31.7806,
0.006958001,32.1149,
0.007007001,32.1149,
0.007056001,31.7806,
0.007105001,32.1149,
0.007154001,32.1149,
0.007203001,31.7806,
0.007252001,32.1149,
0.007301001,32.1149,
0.007350001,31.7806,
0.007399001,32.1149,
0.007448001,32.1149,
0.007497001,31.7806,
0.007546001,32.1149,
0.007595001,32.1149,
0.007644001,31.7806,
0.007693001,32.1149,
0.007742001,32.1149,
0.007791001,31.7806,
0.007840001,32.1149,
0.007889001,32.1149,
0.007938001,31.7793,
0.007987001,32.1149,
0.008036001,32.1149,
0.008085001,31.7806,
0.008134001,32.1149,
0.008183001,32.1149,
0.008232001,31.7806,
0.008281001,32.1149,
0.008330001,32.1149,
0.008379001,31.7806,
0.008428001,32.1149,
0.008477001,31.7806,
0.008526001,31.4462,
0.008575001,32.1149,
0.008624001,31.7806,
0.008673001,32.1149,
0.008722001,32.1149,
0.008771001,31.7806,
0.008820001,32.1149,
0.008869001,32.1149,
0.008918001,31.7806,
0.008967001,32.1149,
0.009016001,32.1149,
0.009065001,31.7806,
0.009114001,32.1149,
0.009163001,32.1149,
0.009212001,31.7793,
0.009261001,32.1149,
0.009310001,32.1149,
0.009359001,31.7806,
0.009408001,32.1149,
0.009457001,31.7806,
0.009506001,32.1149,
0.009555001,32.1149,
0.009604001,31.7806,
0.009653001,32.1149,
0.009702001,32.1149,
0.009751001,31.7806,
0.009800001,32.1149,
0.009849001,32.1149,
0.009898001,31.7806,
0.009947001,32.1149,
0.009996001,32.1149,
0.010045001,28.4369,
0.010094001,21.4152,
0.010143001,24.0901,
0.010192001,26.0963,
0.010241001,28.1025,
0.010290001,30.4431,
0.010339001,31.7806,
0.010388001,32.1149,
0.010437001,31.7793,
0.010486001,31.7806,
0.010535001,32.1149,
0.010584001,31.7806,
0.010633001,32.1149,
0.010682001,31.7806,
0.010731001,32.1149,
0.010780001,32.1149,
0.010829001,31.4462,
0.010878001,31.7806,
0.010927001,32.1149,
0.010976001,31.7806,
0.011025001,31.7806,
0.011074001,32.1149,
0.011123001,31.7806,
0.011172001,31.7806,
0.011221001,31.7806,
0.011270001,32.1149,
0.011319001,32.1149,
0.011368001,31.4462,
0.011417001,31.7806,
0.011466001,32.1149,
0.011515001,31.4462,
0.011564001,31.7806,
0.011613001,32.1149,
0.011662001,32.1149,
0.011711001,31.7806,
0.011760001,31.7793,
0.011809001,32.1149,
0.011858001,31.4475,
0.011907001,31.7793,
0.011956001,32.1149,
0.012005001,31.7806,
0.012054001,32.1149,
0.012103001,31.7806,
0.012152001,32.1149,
0.012201001,32.1149,
0.012250001,31.7806,
0.012299001,32.1149,
0.012348001,32.1149,
0.012397001,31.7806,
0.012446001,32.1149,
0.012495001,31.7806,
0.012544001,32.1149,
0.012593001,31.7806,
0.012642001,31.4462,
0.012691001,32.1149,
0.012740001,31.7806,
0.012789001,32.1149,
0.012838001,32.1149,
0.012887001,31.7806,
0.012936001,32.1149,
0.012985001,32.1149,
0.013034001,31.7806,
0.013083001,32.1149,
0.013132001,32.1149,
0.013181001,31.7793,
0.013230001,31.7806,
0.013279001,31.7806,
0.013328001,32.1149,
0.013377001,31.7806,
0.013426001,32.1149,
0.013475001,32.1149,
0.013524001,31.7806,
0.013573001,32.1149,
0.013622001,32.1149,
0.013671001,31.7806,
0.013720001,31.4462,
0.013769001,32.1149,
0.013818001,31.7806,
0.013867001,32.1149,
0.013916001,32.1149,
0.013965001,31.7806,
0.014014001,32.1149,
0.014063001,32.1149,
0.014112001,31.7806,
0.014161001,32.1149,
0.014210001,31.7806,
0.014259001,32.1149,
0.014308001,32.1149,
0.014357001,31.7806,
0.014406001,32.1149,
0.014455001,32.1149,
0.014504001,31.7793,
0.014553001,32.1149,
0.014602001,32.1149,
0.014651001,31.7806,
0.014700001,32.1149,
0.014749001,32.1149,
0.014798001,31.7806,
0.014847001,32.1149,
0.014896001,31.1118,
0.014945001,31.7806,
0.014994001,32.1149,
0.015043001,32.1149,
0.015092001,31.7806,
0.015141001,32.1149,
0.015190001,32.1149,
0.015239001,31.7806,
0.015288001,32.1149,
0.015337001,32.1149,
0.015386001,31.7806,
0.015435001,32.1149,
0.015484001,31.7806,
0.015533001,32.1149,
0.015582001,32.1149,
0.015631001,31.7806,
0.015680001,32.1149,
0.015729001,32.1149,
0.015778001,31.7793,
0.015827001,32.1149,
0.015876001,32.1149,
0.015925001,31.7806,
0.015974001,32.1149,
0.016023001,32.1149,
0.016072001,31.7806,
0.016121001,32.1149,
0.016170001,32.1149,
0.016219001,31.7806,
0.016268001,32.1149,
0.016317001,32.1149,
0.016366001,31.7806,
0.016415001,32.1149,
0.016464001,32.1149,
0.016513001,31.7806,
0.016562001,32.1149,
0.016611001,32.1149,
0.016660001,31.7806,
0.016709001,32.1149,
0.016758001,32.1149,
0.016807001,31.7806,
0.016856001,32.1149,
0.016905001,32.1149,
0.016954001,31.7806,
0.017003001,32.1149,
0.017052001,31.7793,
0.017101001,32.1149,
0.017150001,32.1149,
0.017199001,31.7806,
0.017248001,32.1149,
0.017297001,32.1149,
0.017346001,31.7806,
0.017395001,32.1149,
0.017444001,32.1149,
0.017493001,31.7806,
0.017542001,32.1149,
0.017591001,32.1149,
0.017640001,31.7806,
0.017689001,32.1149,
0.017738001,32.1149,
0.017787001,31.7806,
0.017836001,32.1149,
0.017885001,32.1149,
0.017934001,31.7806,
0.017983001,32.1149,
0.018032001,32.1149,
0.018081001,31.7806,
0.018130001,32.1149,
0.018179001,32.1149,
0.018228001,31.7806,
0.018277001,32.1149,
0.018326001,32.1149,
0.018375001,31.7793,
0.018424001,32.1162,
0.018473001,32.1149,
0.018522001,31.7793,
0.018571001,32.1149,
0.018620001,31.7806,
0.018669001,32.1149,
0.018718001,32.1149,
0.018767001,31.7806,
0.018816001,32.1149,
0.018865001,32.1149,
0.018914001,31.7806,
0.018963001,32.1149,
0.019012001,32.1149,
0.019061001,31.7806,
0.019110001,32.1149,
0.019159001,32.1149,
0.019208001,31.7806,
0.019257001,32.1149,
0.019306001,32.1149,
0.019355001,31.7806,
0.019404001,32.1149,
0.019453001,32.1149,
0.019502001,31.7806,
0.019551001,32.1149,
0.019600001,32.1149,
0.019649001,31.7806,
0.019698001,32.1149,
0.019747001,32.1149,
0.019796001,31.7793,
0.019845001,32.1149,
0.019894001,32.1149,
0.019943001,31.7806,
0.019992001,32.1149,
0.020041001,32.1149,
0.020090001,31.7806,
