time,demo_victim_network.L_3.port[2].vlarb.StaticFreeCreditsNum in vla
0.000024151,100
0.0000290662,98
0.0000339814,96
0.0000388966,94
0.0000438118,92
0.000048727,90
0.0000536422,88
0.0000585638,94
0.000063479,92
0.0000683942,90
0.0000733094,88
0.0000782246,86
0.0000831398,84
0.000088055,82
0.0000929702,80
0.0000978854,78
0.0001028006,76
0.0001077158,74
0.0001126374,92
0.0001175526,90
0.0001224678,88
0.000127383,86
0.0001322982,84
0.0001372134,82
0.0001421286,80
0.0001470438,78
0.000151959,76
0.0001568742,74
0.0001617958,92
0.000166711,90
0.0001716262,88
0.0001765414,86
0.0001814566,84
0.0001863718,82
0.000191287,80
0.0001962022,78
0.0002011174,76
0.0002060326,74
0.0002109542,93
0.0002158694,91
0.0002207846,89
0.0002256998,87
0.000230615,85
0.0002355302,83
0.0002404454,81
0.0002453606,79
0.0002502758,77
0.000255191,75
0.0002601126,93
0.0002650278,91
0.000269943,89
0.0002748582,87
0.0002797734,85
0.0002846886,83
0.0002896038,81
0.000294519,79
0.0002994342,77
0.0003043494,75
0.000309271,94
0.0003141862,92
0.0003191014,90
0.0003240166,88
0.0003289318,86
0.000333847,84
0.0003387622,82
0.0003436774,80
0.0003485926,78
0.0003535078,76
0.0003584294,94
0.0003633446,92
0.0003682598,90
0.000373175,88
0.0003780902,86
0.0003830054,84
0.0003879206,82
0.0003928358,80
0.000397751,78
0.0004026662,76
0.0004075814,74
0.000412503,92
0.0004174182,90
0.0004223334,88
0.0004272486,86
0.0004321638,84
0.000437079,82
0.0004419942,80
0.0004469094,78
0.0004518246,76
0.0004567398,74
0.0004616614,92
0.0004665766,90
0.0004714918,88
0.000476407,86
0.0004813222,84
0.0004862374,82
0.0004911526,80
0.0004960678,78
0.000500983,76
0.0005058982,74
0.0005108198,93
0.000515735,91
0.0005206502,89
0.0005255654,87
0.0005304806,85
0.0005353958,83
0.000540311,81
0.0005452262,79
0.0005501414,77
0.0005550566,75
0.0005599782,93
0.0005648934,91
0.0005698086,89
0.0005747238,87
0.000579639,85
0.0005845542,83
0.0005894694,81
0.0005943846,79
0.0005992998,77
0.000604215,75
0.0006091366,94
0.0006140518,92
0.000618967,90
0.0006238822,88
0.0006287974,86
0.0006337126,84
0.0006386278,82
0.000643543,80
0.0006484582,78
0.0006533734,76
0.000658295,94
0.0006632102,92
0.0006681254,90
0.0006730406,88
0.0006779558,86
0.000682871,84
0.0006877862,82
0.0006927014,80
0.0006976166,78
0.0007025318,76
0.000707447,74
0.0007123686,92
0.0007172838,90
0.000722199,88
0.0007271142,86
0.0007320294,84
0.0007369446,82
0.0007418598,80
0.000746775,78
0.0007516902,76
0.0007566054,74
0.000761527,93
0.0007664422,91
0.0007713574,89
0.0007762726,87
0.0007811878,85
0.000786103,83
0.0007910182,81
0.0007959334,79
0.0008008486,77
0.0008057638,75
0.0008106854,93
0.0008156006,91
0.0008205158,89
0.000825431,87
0.0008303462,85
0.0008352614,83
0.0008401766,81
0.0008450918,79
0.000850007,77
0.0008549222,75
0.0008598438,94
0.000864759,92
0.0008696742,90
0.0008745894,88
0.0008795046,86
0.0008844198,84
0.000889335,82
0.0008942502,80
0.0008991654,78
0.0009040806,76
0.0009090022,94
0.0009139174,92
0.0009188326,90
0.0009237478,88
0.000928663,86
0.0009335782,84
0.0009384934,82
0.0009434086,80
0.0009483238,78
0.000953239,76
0.0009581606,94
0.0009630758,92
0.000967991,90
0.0009729062,88
0.0009778214,86
0.0009827366,84
0.0009876518,82
0.000992567,80
0.0009974822,78
0.0010023974,76
0.0010073126,74
0.0010122342,92
0.0010171494,90
0.0010220646,88
0.0010269798,86
0.001031895,84
0.0010368102,82
0.0010417254,80
0.0010466406,78
0.0010515558,76
0.001056471,74
0.0010613926,93
0.0010663078,91
0.001071223,89
0.0010761382,87
0.0010810534,85
0.0010859686,83
0.0010908838,81
0.001095799,79
0.0011007142,77
0.0011056294,75
0.001110551,93
0.0011154662,91
0.0011203814,89
0.0011252966,87
0.0011302118,85
0.001135127,83
0.0011400422,81
0.0011449574,79
0.0011498726,77
0.0011547878,75
0.0011597094,94
0.0011646246,92
0.0011695398,90
0.001174455,88
0.0011793702,86
0.0011842854,84
0.0011892006,82
0.0011941158,80
0.001199031,78
0.0012039462,76
0.0012088678,94
0.001213783,92
0.0012186982,90
0.0012236134,88
0.0012285286,86
0.0012334438,84
0.001238359,82
0.0012432742,80
0.0012481894,78
0.0012531046,76
0.0012580198,94
0.0012629414,92
0.0012678566,90
0.0012727718,88
0.001277687,86
0.0012826022,84
0.0012875174,82
0.0012924326,80
0.0012973478,78
0.001302263,76
0.0013071782,74
0.0013120998,92
0.001317015,90
0.0013219302,88
0.0013268454,86
0.0013317606,84
0.0013366758,82
0.001341591,80
0.0013465062,78
0.0013514214,76
0.0013563366,74
0.0013612582,93
0.0013661734,91
0.0013710886,89
0.0013760038,87
0.001380919,85
0.0013858342,83
0.0013907494,81
0.0013956646,79
0.0014005798,77
0.001405495,75
0.0014104166,93
0.0014153318,91
0.001420247,89
0.0014251622,87
0.0014300774,85
0.0014349926,83
0.0014399078,81
0.001444823,79
0.0014497382,77
0.0014546534,75
0.001459575,94
0.0014644902,92
0.0014694054,90
0.0014743206,88
0.0014792358,86
0.001484151,84
0.0014890662,82
0.0014939814,80
0.0014988966,78
0.0015038118,76
0.0015087334,94
0.0015136486,92
0.0015185638,90
0.001523479,88
0.0015283942,86
0.0015333094,84
0.0015382246,82
0.0015431398,80
0.001548055,78
0.0015529702,76
0.0015578854,74
0.001562807,92
0.0015677222,90
0.0015726374,88
0.0015775526,86
0.0015824678,84
0.001587383,82
0.0015922982,80
0.0015972134,78
0.0016021286,76
0.0016070438,74
0.0016119654,92
0.0016168806,90
0.0016217958,88
0.001626711,86
0.0016316262,84
0.0016365414,82
0.0016414566,80
0.0016463718,78
0.001651287,76
0.0016562022,74
0.0016611238,93
0.001666039,91
0.0016709542,89
0.0016758694,87
0.0016807846,85
0.0016856998,83
0.001690615,81
0.0016955302,79
0.0017004454,77
0.0017053606,75
0.0017102822,93
0.0017151974,91
0.0017201126,89
0.0017250278,87
0.001729943,85
0.0017348582,83
0.0017397734,81
0.0017446886,79
0.0017496038,77
0.001754519,75
0.0017594406,94
0.0017643558,92
0.001769271,90
0.0017741862,88
0.0017791014,86
0.0017840166,84
0.0017889318,82
0.001793847,80
0.0017987622,78
0.0018036774,76
0.001808599,94
0.0018135142,92
0.0018184294,90
0.0018233446,88
0.0018282598,86
0.001833175,84
0.0018380902,82
0.0018430054,80
0.0018479206,78
0.0018528358,76
0.001857751,74
0.0018626726,92
0.0018675878,90
0.001872503,88
0.0018774182,86
0.0018823334,84
0.0018872486,82
0.0018921638,80
0.001897079,78
0.0019019942,76
0.0019069094,74
0.001911831,92
0.0019167462,90
0.0019216614,88
0.0019265766,86
0.0019314918,84
0.001936407,82
0.0019413222,80
0.0019462374,78
0.0019511526,76
0.0019560678,74
0.0019609894,87
0.0019659046,85
0.0019708198,83
0.001975735,81
0.0019806502,79
0.0019855654,77
0.0019904806,75
0.0019953958,73
0.002000311,71
0.0020052262,69
0.0020101478,82
0.002015063,80
0.0020199782,78
0.0020248934,76
0.0020298086,74
0.0020347238,72
0.002039639,70
0.0020445542,68
0.0020494694,66
0.0020543846,64
0.0020593062,78
0.0020642214,76
0.0020691366,74
0.0020740518,72
0.002078967,70
0.0020838822,68
0.0020887974,66
0.0020937126,64
