time,demo_victim_network.S_1.port[0].vlarb.StaticFreeCreditsNum in vla
0.000032251,100
0.0000371662,98
0.0000420814,96
0.0000469966,94
0.0000519118,92
0.000056827,90
0.0000617422,92
0.0000666638,90
0.000071579,88
0.0000764942,86
0.0000814094,84
0.0000863246,82
0.0000912398,80
0.000096155,78
0.0001010702,76
0.0001059854,74
0.0001109006,93
0.0001158158,91
0.0001207374,89
0.0001256526,87
0.0001305678,85
0.000135483,83
0.0001403982,81
0.0001453134,79
0.0001502286,77
0.0001551438,75
0.000160059,93
0.0001649742,91
0.0001698958,89
0.000174811,87
0.0001797262,85
0.0001846414,83
0.0001895566,81
0.0001944718,79
0.000199387,77
0.0002043022,75
0.0002092174,94
0.0002141326,92
0.0002190542,90
0.0002239694,88
0.0002288846,86
0.0002337998,84
0.000238715,82
0.0002436302,80
0.0002485454,78
0.0002534606,76
0.0002583758,94
0.000263291,92
0.0002682126,90
0.0002731278,88
0.000278043,86
0.0002829582,84
0.0002878734,82
0.0002927886,80
0.0002977038,78
0.000302619,76
0.0003075342,74
0.0003124494,92
0.000317371,90
0.0003222862,88
0.0003272014,86
0.0003321166,84
0.0003370318,82
0.000341947,80
0.0003468622,78
0.0003517774,76
0.0003566926,74
0.0003616078,92
0.0003665294,90
0.0003714446,88
0.0003763598,86
0.000381275,84
0.0003861902,82
0.0003911054,80
0.0003960206,78
0.0004009358,76
0.000405851,74
0.0004107662,93
0.0004156814,91
0.000420603,89
0.0004255182,87
0.0004304334,85
0.0004353486,83
0.0004402638,81
0.000445179,79
0.0004500942,77
0.0004550094,75
0.0004599246,93
0.0004648398,91
0.0004697614,89
0.0004746766,87
0.0004795918,85
0.000484507,83
0.0004894222,81
0.0004943374,79
0.0004992526,77
0.0005041678,75
0.000509083,94
0.0005139982,92
0.0005189198,90
0.000523835,88
0.0005287502,86
0.0005336654,84
0.0005385806,82
0.0005434958,80
0.000548411,78
0.0005533262,76
0.0005582414,94
0.0005631566,92
0.0005680782,90
0.0005729934,88
0.0005779086,86
0.0005828238,84
0.000587739,82
0.0005926542,80
0.0005975694,78
0.0006024846,76
0.0006073998,74
0.000612315,92
0.0006172366,90
0.0006221518,88
0.000627067,86
0.0006319822,84
0.0006368974,82
0.0006418126,80
0.0006467278,78
0.000651643,76
0.0006565582,74
0.0006614734,93
0.000666395,91
0.0006713102,89
0.0006762254,87
0.0006811406,85
0.0006860558,83
0.000690971,81
0.0006958862,79
0.0007008014,77
0.0007057166,75
0.0007106318,93
0.000715547,91
0.0007204686,89
0.0007253838,87
0.000730299,85
0.0007352142,83
0.0007401294,81
0.0007450446,79
0.0007499598,77
0.000754875,75
0.0007597902,94
0.0007647054,92
0.000769627,90
0.0007745422,88
0.0007794574,86
0.0007843726,84
0.0007892878,82
0.000794203,80
0.0007991182,78
0.0008040334,76
0.0008089486,94
0.0008138638,92
0.0008187854,90
0.0008237006,88
0.0008286158,86
0.000833531,84
0.0008384462,82
0.0008433614,80
0.0008482766,78
0.0008531918,76
0.000858107,94
0.0008630222,92
0.0008679438,90
0.000872859,88
0.0008777742,86
0.0008826894,84
0.0008876046,82
0.0008925198,80
0.000897435,78
0.0009023502,76
0.0009072654,74
0.0009121806,92
0.0009171022,90
0.0009220174,88
0.0009269326,86
0.0009318478,84
0.000936763,82
0.0009416782,80
0.0009465934,78
0.0009515086,76
0.0009564238,74
0.000961339,93
0.0009662606,91
0.0009711758,89
0.000976091,87
0.0009810062,85
0.0009859214,83
0.0009908366,81
0.0009957518,79
0.001000667,77
0.0010055822,75
0.0010104974,93
0.0010154126,91
0.0010203342,89
0.0010252494,87
0.0010301646,85
0.0010350798,83
0.001039995,81
0.0010449102,79
0.0010498254,77
0.0010547406,75
0.0010596558,94
0.001064571,92
0.0010694926,90
0.0010744078,88
0.001079323,86
0.0010842382,84
0.0010891534,82
0.0010940686,80
0.0010989838,78
0.001103899,76
0.0011088142,93
0.0011137294,91
0.001118651,89
0.0011235662,87
0.0011284814,85
0.0011333966,83
0.0011383118,81
0.001143227,79
0.0011481422,77
0.0011530574,75
0.0011579726,73
0.0011628878,86
0.0011678094,84
0.0011727246,82
0.0011776398,80
0.001182555,78
0.0011874702,76
0.0011923854,74
0.0011973006,72
0.0012022158,70
0.001207131,68
0.0012120462,82
0.0012169678,80
0.001221883,78
0.0012267982,76
0.0012317134,74
0.0012366286,72
0.0012415438,70
0.001246459,68
0.0012513742,66
0.0012562894,64
0.0012612046,77
0.0012661198,75
0.0012710414,73
0.0012759566,71
0.0012808718,69
0.001285787,67
0.0012907022,65
0.0012956174,63
0.0013005326,61
0.0013054478,59
0.001310363,72
0.0013152782,70
0.0013201998,68
0.001325115,66
0.0013300302,64
0.0013349454,62
0.0013398606,60
0.0013447758,58
0.001349691,56
0.0013546062,54
0.0013595214,67
0.0013644366,65
0.0013693582,63
0.0013742734,61
0.0013791886,59
0.0013841038,57
0.001389019,55
0.0013939342,53
0.0013988494,51
0.0014037646,49
0.0014086798,63
0.001413595,61
0.0014185166,59
0.0014234318,57
0.001428347,55
0.0014332622,53
0.0014381774,51
0.0014430926,49
0.0014480078,47
0.001452923,45
0.0014578382,43
0.0014627534,56
0.001467675,54
0.0014725902,52
0.0014775054,50
0.0014824206,48
0.0014873358,46
0.001492251,44
0.0014971662,42
0.0015020814,40
0.0015069966,38
0.0015119118,51
0.0015168334,49
0.0015217486,47
0.0015266638,45
0.001531579,43
0.0015364942,41
0.0015414094,39
0.0015463246,37
0.0015512398,35
0.001556155,33
0.0015610702,46
0.0015659854,44
0.001570907,42
0.0015758222,40
0.0015807374,38
0.0015856526,36
0.0015905678,34
0.001595483,32
0.0016003982,30
0.0016053134,28
0.0016102286,42
0.0016151438,40
0.0016200654,38
0.0016249806,36
0.0016298958,34
0.001634811,32
0.0016397262,30
0.0016446414,28
0.0016495566,26
0.0016544718,24
0.001659387,37
0.0016643022,35
0.0016692238,33
0.001674139,31
0.0016790542,29
0.0016839694,27
0.0016888846,25
0.0016937998,23
0.001698715,21
0.0017036302,19
0.0017085454,32
0.0017134606,30
0.0017183822,28
0.0017232974,26
0.0017282126,24
0.0017331278,22
0.001738043,20
0.0017429582,18
0.0017478734,16
0.0017527886,14
0.0017577038,12
0.001762619,25
0.0017675406,23
0.0017724558,21
0.001777371,19
0.0017822862,17
0.0017872014,15
0.0017921166,13
0.0017970318,11
0.001801947,9
0.0018068622,7
0.0018117774,21
0.001816699,19
0.0018216142,17
0.0018265294,15
0.0018314446,13
0.0018363598,11
0.001841275,9
0.0018461902,7
0.0018511054,5
0.0018560206,3
0.0018609358,16
0.001865851,14
0.0018707726,12
0.0018756878,10
0.001880603,8
0.0018855182,6
0.0018904334,4
0.0018953486,2
0.0019002638,0
0.001908001,15
0.001908683666,13
0.0019100942,11
0.0019150094,9
0.001919931,7
0.0019248462,5
0.0019297614,3
0.0019346766,1
0.001958342333,14
0.001959024999,12
0.001959707665,10
0.001960390331,8
0.001961072997,6
0.0019641678,4
0.0019690894,2
0.0019740046,0
0.001974385,0
0.0019760234,0
0.0019776618,0
0.0019793002,0
0.0019809386,0
0.001982577,0
0.002008001,16
0.002008683666,14
0.002009366332,12
0.002010048998,10
0.002010731664,8
0.00201141433,6
0.002012096996,4
0.002012779662,2
0.002013462328,0
0.0020145546,0
0.002016193,0
0.0020178314,0
0.0020194698,0
0.0020211082,0
0.0020227466,0
0.002024385,0
0.0020260234,0
0.0020276618,0
0.0020293002,0
0.0020309386,0
0.002032577,0
0.0020342154,0
0.002058001,15
0.002058683666,13
0.002059366332,11
0.002060048998,9
