time,demo_victim_network.H_7.gen.Throughput
0.0002,1.48275e+010
0.0004,3.35872e+009
0.0006,3.35872e+009
0.0008,3.2768e+009
0.001,3.35872e+009
0.0012,3.35872e+009
0.0014,3.35872e+009
0.0016,3.2768e+009
0.0018,3.35872e+009
0.002,3.35872e+009
0.0022,3.2768e+009
0.0024,3.35872e+009
0.0026,3.35872e+009
0.0028,3.2768e+009
0.003,3.35872e+009
0.0032,3.35872e+009
0.0034,3.2768e+009
0.0036,3.35872e+009
0.0038,3.35872e+009
0.004,3.2768e+009
0.0042,3.35872e+009
0.0044,3.35872e+009
0.0046,3.2768e+009
0.0048,3.35872e+009
0.005,3.35872e+009
0.0052,3.35872e+009
0.0054,3.2768e+009
0.0056,3.35872e+009
0.0058,3.35872e+009
0.006,3.2768e+009
0.0062,3.35872e+009
0.0064,3.35872e+009
0.0066,3.2768e+009
0.0068,3.35872e+009
0.007,3.35872e+009
0.0072,3.2768e+009
0.0074,3.35872e+009
0.0076,3.35872e+009
0.0078,3.2768e+009
0.008,3.35872e+009
0.0082,3.35872e+009
0.0084,3.2768e+009
0.0086,3.35872e+009
0.0088,3.35872e+009
0.009,3.35872e+009
0.0092,3.2768e+009
0.0094,3.35872e+009
0.0096,3.35872e+009
0.0098,3.2768e+009
0.01,3.35872e+009
0.0102,3.35872e+009
0.0104,3.2768e+009
0.0106,3.35872e+009
0.0108,3.35872e+009
0.011,3.2768e+009
0.0112,3.35872e+009
0.0114,3.35872e+009
0.0116,3.2768e+009
0.0118,3.35872e+009
0.012,3.35872e+009
0.0122,3.2768e+009
0.0124,3.35872e+009
0.0126,3.35872e+009
0.0128,3.35872e+009
0.013,3.2768e+009
0.0132,3.35872e+009
0.0134,3.35872e+009
0.0136,3.2768e+009
0.0138,3.35872e+009
0.014,3.35872e+009
0.0142,3.2768e+009
0.0144,3.35872e+009
0.0146,3.35872e+009
0.0148,3.2768e+009
0.015,3.35872e+009
0.0152,3.35872e+009
0.0154,3.2768e+009
0.0156,3.35872e+009
0.0158,3.35872e+009
0.016,3.35872e+009
0.0162,3.2768e+009
0.0164,3.35872e+009
0.0166,3.35872e+009
0.0168,3.2768e+009
0.017,3.35872e+009
0.0172,3.35872e+009
0.0174,3.2768e+009
0.0176,3.35872e+009
0.0178,3.35872e+009
0.018,3.2768e+009
0.0182,3.35872e+009
0.0184,3.35872e+009
0.0186,3.2768e+009
0.0188,3.35872e+009
0.019,3.35872e+009
0.0192,3.2768e+009
0.0194,3.35872e+009
0.0196,3.35872e+009
0.0198,3.35872e+009
0.02,3.2768e+009
0.0202,3.35872e+009
0.0204,3.35872e+009
0.0206,3.2768e+009
0.0208,3.35872e+009
0.021,3.35872e+009
0.0212,3.2768e+009
0.0214,3.35872e+009
0.0216,3.35872e+009
0.0218,3.2768e+009
0.022,3.35872e+009
0.0222,3.35872e+009
0.0224,3.2768e+009
0.0226,3.35872e+009
0.0228,3.35872e+009
0.023,3.2768e+009
0.0232,3.35872e+009
0.0234,3.35872e+009
0.0236,3.35872e+009
0.0238,3.2768e+009
0.024,3.35872e+009
0.0242,3.35872e+009
0.0244,3.2768e+009
0.0246,3.35872e+009
0.0248,3.35872e+009
0.025,3.2768e+009
0.0252,3.35872e+009
0.0254,3.35872e+009
0.0256,3.2768e+009
0.0258,3.35872e+009
0.026,3.35872e+009
0.0262,3.2768e+009
0.0264,3.35872e+009
0.0266,3.35872e+009
0.0268,3.2768e+009
0.027,3.35872e+009
0.0272,3.35872e+009
0.0274,3.35872e+009
0.0276,3.2768e+009
0.0278,3.35872e+009
0.028,3.35872e+009
0.0282,3.2768e+009
0.0284,3.35872e+009
0.0286,3.35872e+009
0.0288,3.2768e+009
0.029,3.35872e+009
0.0292,3.35872e+009
0.0294,3.2768e+009
0.0296,3.35872e+009
0.0298,3.35872e+009
0.03,3.2768e+009
0.0302,3.35872e+009
0.0304,3.35872e+009
0.0306,3.35872e+009
0.0308,3.2768e+009
0.031,3.35872e+009
0.0312,3.35872e+009
0.0314,3.2768e+009
0.0316,3.35872e+009
0.0318,3.35872e+009
0.032,3.2768e+009
0.0322,3.35872e+009
0.0324,3.35872e+009
0.0326,3.2768e+009
0.0328,3.35872e+009
0.033,3.35872e+009
0.0332,3.2768e+009
0.0334,3.35872e+009
0.0336,3.35872e+009
0.0338,3.2768e+009
0.034,3.35872e+009
0.0342,3.35872e+009
0.0344,3.35872e+009
0.0346,3.2768e+009
0.0348,3.35872e+009
0.035,3.35872e+009
0.0352,3.2768e+009
0.0354,3.35872e+009
0.0356,3.35872e+009
0.0358,3.2768e+009
0.036,3.35872e+009
0.0362,3.35872e+009
0.0364,3.2768e+009
0.0366,3.35872e+009
0.0368,3.35872e+009
0.037,3.2768e+009
0.0372,3.35872e+009
0.0374,3.35872e+009
0.0376,3.2768e+009
0.0378,3.35872e+009
0.038,3.35872e+009
0.0382,3.35872e+009
0.0384,3.2768e+009
0.0386,3.35872e+009
0.0388,3.35872e+009
0.039,3.2768e+009
0.0392,3.35872e+009
0.0394,3.35872e+009
0.0396,3.2768e+009
0.0398,3.35872e+009
0.04,3.35872e+009
0.0402,3.2768e+009
0.0404,3.35872e+009
0.0406,3.35872e+009
0.0408,3.2768e+009
0.041,3.35872e+009
0.0412,3.35872e+009
0.0414,3.2768e+009
0.0416,3.35872e+009
0.0418,3.35872e+009
0.042,3.35872e+009
0.0422,3.2768e+009
0.0424,3.35872e+009
0.0426,3.35872e+009
0.0428,3.2768e+009
0.043,3.35872e+009
0.0432,3.35872e+009
0.0434,3.2768e+009
0.0436,3.35872e+009
0.0438,3.35872e+009
0.044,3.2768e+009
0.0442,3.35872e+009
0.0444,3.35872e+009
0.0446,3.2768e+009
0.0448,3.35872e+009
0.045,3.35872e+009
0.0452,3.35872e+009
0.0454,3.2768e+009
0.0456,3.35872e+009
0.0458,3.35872e+009
0.046,3.2768e+009
0.0462,3.35872e+009
0.0464,3.35872e+009
0.0466,3.2768e+009
0.0468,3.35872e+009
0.047,3.35872e+009
0.0472,3.2768e+009
0.0474,3.35872e+009
0.0476,3.35872e+009
0.0478,3.2768e+009
0.048,3.35872e+009
0.0482,3.35872e+009
0.0484,3.2768e+009
0.0486,3.35872e+009
0.0488,3.35872e+009
0.049,3.35872e+009
0.0492,3.2768e+009
0.0494,3.35872e+009
0.0496,3.35872e+009
0.0498,3.2768e+009
0.05,3.35872e+009
0.0502,3.35872e+009
0.0504,3.2768e+009
0.0506,3.35872e+009
0.0508,3.35872e+009
0.051,3.2768e+009
0.0512,3.35872e+009
0.0514,3.35872e+009
0.0516,3.2768e+009
0.0518,3.35872e+009
0.052,3.35872e+009
0.0522,3.2768e+009
0.0524,3.35872e+009
0.0526,3.35872e+009
0.0528,3.35872e+009
0.053,3.2768e+009
0.0532,3.35872e+009
0.0534,3.35872e+009
0.0536,3.2768e+009
0.0538,3.35872e+009
0.054,3.35872e+009
0.0542,3.2768e+009
0.0544,3.35872e+009
0.0546,3.35872e+009
0.0548,3.2768e+009
0.055,3.35872e+009
0.0552,3.35872e+009
0.0554,3.2768e+009
0.0556,3.35872e+009
0.0558,3.35872e+009
0.056,3.2768e+009
0.0562,3.35872e+009
0.0564,3.35872e+009
0.0566,3.35872e+009
0.0568,3.2768e+009
0.057,3.35872e+009
0.0572,3.35872e+009
0.0574,3.2768e+009
0.0576,3.35872e+009
0.0578,3.35872e+009
0.058,3.2768e+009
0.0582,3.35872e+009
0.0584,3.35872e+009
0.0586,3.2768e+009
0.0588,3.35872e+009
0.059,3.35872e+009
0.0592,3.2768e+009
0.0594,3.35872e+009
0.0596,3.35872e+009
0.0598,3.35872e+009
0.06,3.2768e+009
0.0602,3.35872e+009
0.0604,3.35872e+009
0.0606,3.2768e+009
0.0608,3.35872e+009
0.061,3.35872e+009
0.0612,3.2768e+009
0.0614,3.35872e+009
0.0616,3.35872e+009
0.0618,3.2768e+009
0.062,3.35872e+009
0.0622,3.35872e+009
0.0624,3.2768e+009
0.0626,3.35872e+009
0.0628,3.35872e+009
0.063,3.2768e+009
0.0632,3.35872e+009
0.0634,3.35872e+009
0.0636,3.35872e+009
0.0638,3.2768e+009
0.064,3.35872e+009
0.0642,3.35872e+009
0.0644,3.2768e+009
0.0646,3.35872e+009
0.0648,3.35872e+009
0.065,3.2768e+009
0.0652,3.35872e+009
0.0654,3.35872e+009
0.0656,3.2768e+009
0.0658,3.35872e+009
0.066,3.35872e+009
0.0662,3.2768e+009
0.0664,3.35872e+009
0.0666,3.35872e+009
0.0668,3.2768e+009
0.067,3.35872e+009
0.0672,3.35872e+009
0.0674,3.35872e+009
0.0676,3.2768e+009
0.0678,3.35872e+009
0.068,3.35872e+009
0.0682,3.2768e+009
0.0684,3.35872e+009
0.0686,3.35872e+009
0.0688,3.2768e+009
0.069,3.35872e+009
0.0692,3.35872e+009
0.0694,3.2768e+009
0.0696,3.35872e+009
0.0698,3.35872e+009
0.07,3.2768e+009
0.0702,3.35872e+009
0.0704,3.35872e+009
0.0706,3.2768e+009
0.0708,3.35872e+009
0.071,3.35872e+009
0.0712,3.35872e+009
0.0714,3.2768e+009
0.0716,3.35872e+009
0.0718,3.35872e+009
0.072,3.2768e+009
0.0722,3.35872e+009
0.0724,3.35872e+009
0.0726,3.2768e+009
0.0728,3.35872e+009
0.073,3.35872e+009
0.0732,3.2768e+009
0.0734,3.35872e+009
0.0736,3.35872e+009
0.0738,3.2768e+009
0.074,3.35872e+009
0.0742,3.35872e+009
0.0744,3.35872e+009
0.0746,3.2768e+009
0.0748,3.35872e+009
0.075,3.35872e+009
0.0752,3.2768e+009
0.0754,3.35872e+009
0.0756,3.35872e+009
0.0758,3.2768e+009
