time,demo_network.H_2.obuf.Throughput-obuf
0.000025001,31.4752
0.000050001,19.6762
0.000075001,16.3994
0.000100001,16.3994
0.000125001,16.3994
0.000150001,15.744
0.000175001,15.744
0.000200001,15.744
0.000225001,13.7779
0.000250001,9.84832
0.000275001,8.53504
0.000300001,7.87968
0.000325001,7.22432
0.000350001,7.87968
0.000375001,7.87968
0.000400001,7.87968
0.000425001,7.87968
0.000450001,8.53504
0.000475001,8.53504
0.000500001,8.5376
0.000525001,8.53504
0.000550001,9.1904
0.000575001,9.1904
0.000600001,9.1904
0.000625001,9.84576
0.000650001,9.84576
0.000675001,9.84576
0.000700001,10.5011
0.000725001,10.5011
0.000750001,10.5037
0.000775001,11.1565
0.000800001,11.1565
0.000825001,11.1565
0.000850001,11.8118
0.000875001,11.8118
0.000900001,12.4672
0.000925001,12.4672
0.000950001,12.4672
0.000975001,13.1251
0.001000001,13.1226
0.001025001,13.7779
0.001050001,14.4333
0.001075001,13.7779
0.001100001,15.0886
0.001125001,15.0886
0.001150001,15.0886
0.001175001,15.744
0.001200001,15.744
0.001225001,17.0573
0.001250001,16.3994
0.001275001,17.0547
0.001300001,17.0547
0.001325001,13.7779
0.001350001,14.4333
0.001375001,15.0886
0.001400001,14.4333
0.001425001,15.744
0.001450001,15.744
0.001475001,15.7466
0.001500001,16.3994
0.001525001,17.0547
0.001550001,17.0547
0.001575001,17.0547
0.001600001,14.4333
0.001625001,13.7779
0.001650001,13.7779
0.001675001,14.4333
0.001700001,14.4358
0.001725001,15.0886
0.001750001,15.0886
0.001775001,15.744
0.001800001,16.3994
0.001825001,16.3994
0.001850001,17.0547
0.001875001,15.744
0.001900001,14.4333
0.001925001,14.4333
0.001950001,14.4333
0.001975001,15.0912
0.002000001,15.0886
0.002025001,15.744
0.002050001,16.3994
0.002075001,16.3994
0.002100001,16.3994
0.002125001,17.7101
0.002150001,17.0547
0.002175001,15.0886
0.002200001,13.7805
0.002225001,13.7779
0.002250001,14.4333
0.002275001,14.4333
0.002300001,15.0886
0.002325001,15.0886
0.002350001,15.744
0.002375001,16.3994
0.002400001,16.3994
0.002425001,17.0573
0.002450001,16.3994
0.002475001,15.0886
0.002500001,14.4333
0.002525001,15.0886
0.002550001,15.0886
0.002575001,15.744
0.002600001,16.3994
0.002625001,16.3994
0.002650001,16.3994
0.002675001,17.7126
0.002700001,17.0547
0.002725001,17.0547
0.002750001,13.7779
0.002775001,13.1226
0.002800001,13.7779
0.002825001,14.4333
0.002850001,13.7779
0.002875001,15.0886
0.002900001,15.0886
0.002925001,15.0886
0.002950001,15.7466
0.002975001,15.744
0.003000001,16.3994
0.003025001,17.0547
0.003050001,16.3994
0.003075001,14.4333
0.003100001,14.4333
0.003125001,14.4333
0.003150001,15.0886
0.003175001,15.0912
0.003200001,15.744
0.003225001,16.3994
0.003250001,16.3994
0.003275001,16.3994
0.003300001,17.7101
0.003325001,16.3994
0.003350001,14.4333
0.003375001,13.7779
0.003400001,14.4358
0.003425001,14.4333
0.003450001,15.0886
0.003475001,15.744
0.003500001,15.744
0.003525001,15.744
0.003550001,16.3994
0.003575001,17.0547
0.003600001,16.3994
0.003625001,14.4358
0.003650001,14.4333
0.003675001,15.0886
0.003700001,14.4333
0.003725001,15.744
0.003750001,15.744
0.003775001,15.744
0.003800001,16.3994
0.003825001,17.0547
0.003850001,17.0547
0.003875001,17.0573
0.003900001,14.4333
0.003925001,13.7779
0.003950001,13.7779
0.003975001,14.4333
0.004000001,15.0886
0.004025001,14.4333
0.004050001,15.744
