time,demo_network.H_1.obuf.Throughput-obuf
0.000030001,31.6928
0.000060001,16.9451
0.000090001,15.3067
0.000120001,16.9472
0.000150001,15.8528
0.000180001,15.3067
0.000210001,16.9472
0.000240001,15.8528
0.000270001,15.3067
0.000300001,16.4011
0.000330001,16.3989
0.000360001,15.3067
0.000390001,16.4011
0.000420001,16.3989
0.000450001,15.3067
0.000480001,16.4011
0.000510001,16.3989
0.000540001,15.3067
0.000570001,16.4011
0.000600001,16.3989
0.000630001,15.3067
0.000660001,16.4011
0.000690001,16.3989
0.000720001,15.3067
0.000750001,15.8549
0.000780001,16.9451
0.000810001,15.3067
0.000840001,15.8549
0.000870001,16.9451
0.000900001,15.3067
0.000930001,15.8549
0.000960001,16.3989
0.000990001,15.8528
0.001020001,15.8549
0.001050001,16.3989
0.001080001,15.8528
0.001110001,15.3067
0.001140001,16.9472
0.001170001,15.8528
0.001200001,15.3067
0.001230001,16.9472
0.001260001,15.8528
0.001290001,15.3067
0.001320001,16.9472
0.001350001,15.8528
0.001380001,15.3067
0.001410001,16.4011
0.001440001,16.3989
0.001470001,15.3067
0.001500001,16.4011
0.001530001,16.3989
0.001560001,15.3067
0.001590001,16.4011
0.001620001,16.3989
0.001650001,15.3067
0.001680001,16.4011
0.001710001,16.3989
0.001740001,15.3067
0.001770001,16.4011
0.001800001,16.3989
0.001830001,15.3067
0.001860001,15.8549
0.001890001,16.9451
0.001920001,14.7605
0.001950001,15.8549
0.001980001,16.9451
0.002010001,15.3067
0.002040001,15.8549
0.002070001,16.3989
0.002100001,15.8528
0.002130001,15.8549
0.002160001,16.3989
0.002190001,15.8528
0.002220001,15.3067
0.002250001,16.9472
0.002280001,15.8528
0.002310001,15.3067
0.002340001,16.9472
0.002370001,15.8528
0.002400001,15.3067
0.002430001,16.9472
0.002460001,15.8528
0.002490001,15.3067
0.002520001,16.4011
0.002550001,16.3989
0.002580001,15.3067
0.002610001,16.4011
0.002640001,16.3989
0.002670001,15.3067
0.002700001,16.4011
0.002730001,16.3989
0.002760001,15.3067
0.002790001,16.4011
0.002820001,16.3989
0.002850001,15.3067
0.002880001,15.8549
0.002910001,16.9451
0.002940001,15.3067
0.002970001,15.8549
0.003000001,16.9451
0.003030001,15.3067
0.003060001,15.8549
0.003090001,16.9451
0.003120001,15.3067
0.003150001,15.8549
0.003180001,16.3989
0.003210001,15.8528
0.003240001,15.8549
0.003270001,16.3989
0.003300001,15.8528
0.003330001,15.3067
0.003360001,16.9472
0.003390001,15.8528
0.003420001,15.3067
0.003450001,16.9472
0.003480001,15.8528
0.003510001,15.3067
0.003540001,16.9472
0.003570001,15.8528
0.003600001,15.3067
0.003630001,16.4011
0.003660001,16.3989
0.003690001,15.3067
0.003720001,16.4011
0.003750001,16.3989
0.003780001,15.3067
0.003810001,16.4011
0.003840001,16.3989
0.003870001,15.3067
0.003900001,16.4011
0.003930001,16.3989
0.003960001,15.3067
0.003990001,15.8549
0.004020001,16.3989
0.004050001,15.3067
0.004080001,15.8549
0.004110001,16.9451
0.004140001,15.3067
0.004170001,15.8549
0.004200001,16.9451
0.004230001,15.3067
0.004260001,15.8549
0.004290001,16.3989
0.004320001,15.8528
0.004350001,15.8549
0.004380001,16.3989
0.004410001,15.8528
0.004440001,15.3067
0.004470001,16.9472
0.004500001,15.8528
0.004530001,15.3067
0.004560001,16.9472
0.004590001,15.8528
0.004620001,15.3067
0.004650001,16.9472
0.004680001,15.8528
0.004710001,15.3067
0.004740001,16.4011
0.004770001,16.3989
0.004800001,15.3067
0.004830001,16.4011
0.004860001,16.3989
0.004890001,15.3067
0.004920001,16.4011
0.004950001,16.3989
0.004980001,15.3067
0.005010001,16.4011
0.005040001,16.3989
0.005070001,15.3067
0.005100001,15.8549
0.005130001,16.9451
0.005160001,15.3067
0.005190001,15.8549
0.005220001,16.9451
0.005250001,15.3067
0.005280001,15.8549
0.005310001,16.9451
0.005340001,15.3067
0.005370001,15.8549
0.005400001,16.3989
0.005430001,15.8528
0.005460001,15.8549
0.005490001,16.3989
0.005520001,15.8528
0.005550001,15.3067
0.005580001,16.9472
0.005610001,15.8528
0.005640001,15.3067
0.005670001,16.9472
0.005700001,15.8528
0.005730001,15.3067
0.005760001,16.4011
0.005790001,16.3989
0.005820001,15.3067
0.005850001,16.4011
0.005880001,16.3989
0.005910001,15.3067
0.005940001,16.4011
0.005970001,16.3989
0.006000001,15.3067
0.006030001,16.4011
0.006060001,16.3989
0.006090001,15.3067
0.006120001,15.8549
0.006150001,16.3989
0.006180001,15.3067
0.006210001,15.8549
0.006240001,16.9451
0.006270001,15.3067
0.006300001,15.8549
0.006330001,16.9451
0.006360001,15.3067
0.006390001,15.8549
0.006420001,16.9451
0.006450001,15.3067
0.006480001,15.8549
0.006510001,16.3989
0.006540001,15.8528
0.006570001,15.8549
0.006600001,16.3989
0.006630001,15.8528
0.006660001,15.3067
0.006690001,16.9472
0.006720001,15.8528
0.006750001,15.3067
0.006780001,16.9472
0.006810001,15.8528
0.006840001,15.3067
0.006870001,16.4011
0.006900001,16.3989
0.006930001,15.3067
0.006960001,16.4011
0.006990001,16.3989
0.007020001,15.3067
0.007050001,16.4011
0.007080001,16.3989
0.007110001,15.3067
0.007140001,16.4011
0.007170001,16.3989
0.007200001,15.3067
0.007230001,16.4011
0.007260001,16.3989
0.007290001,15.3067
0.007320001,15.8549
0.007350001,16.9451
0.007380001,15.3067
0.007410001,15.8549
0.007440001,16.9451
0.007470001,15.3067
0.007500001,15.8549
0.007530001,16.9451
0.007560001,15.3067
0.007590001,15.8549
0.007620001,16.3989
0.007650001,15.8528
0.007680001,15.3067
0.007710001,16.9472
0.007740001,15.8528
0.007770001,15.3067
