time,demo_network.SW_2.port[2].vlarb.available credits in vla
0.000000563,32
0.000000634111,31
0.000001075,30
0.000001146111,29
0.000001587,28
0.000001658111,27
0.000002101,29
0.000002101,29
0.000002149,29
0.000002663,29
0.000002734111,28
0.000002805222,27
0.000003175,27
0.000003246111,26
0.000003687,26
0.000003758111,25
0.000004097,29
0.000004199,29
0.000004713,29
0.000004784111,28
0.000004855222,27
0.000005225,27
0.000005296111,26
0.000005737,26
0.000005808111,25
0.000006145,29
0.000006249,29
0.000006763,29
0.000006834111,28
0.000006905222,27
0.000007275,27
0.000007346111,26
0.000007787,26
0.000007858111,25
0.000008193,29
0.000008299,29
0.000008813,29
0.000008884111,28
0.000008955222,27
0.000009063,27
0.000009325,27
0.000009396111,26
0.000009837,26
0.000009908111,25
0.000010241,29
0.000010349,29
0.000010599,29
0.000010670111,28
0.000010863,28
0.000010934111,27
0.000011375,27
0.000011446111,26
0.000011887,26
0.000011958111,25
0.000012137,25
0.000012399,25
0.000012599,30
0.000012670111,29
0.000012913,29
0.000012984111,28
0.000013425,28
0.000013496111,27
0.000013675,27
0.000013937,27
0.000014008111,26
0.000014337,29
0.000014449,29
0.000014963,29
0.000015034111,28
0.000015105222,27
0.000015213,27
0.000015475,27
0.000015546111,26
0.000015987,26
0.000016058111,25
0.000016385,29
0.000016499,29
0.000016749,29
0.000016820111,28
0.000017013,28
0.000017084111,27
0.000017525,27
0.000017596111,26
0.000018037,26
0.000018108111,25
0.000018287,25
0.000018549,25
0.000018749,30
0.000018820111,29
0.000019063,29
0.000019134111,28
0.000019575,28
0.000019646111,27
0.000019825,27
0.000020087,27
0.000020158111,26
0.000020481,29
0.000020599,29
0.000021113,29
0.000021184111,28
0.000021255222,27
0.000021363,27
0.000021625,27
0.000021696111,26
0.000022137,26
0.000022208111,25
0.000022529,29
0.000022649,29
0.000022899,29
0.000022970111,28
0.000023163,28
0.000023234111,27
0.000023675,27
0.000023746111,26
0.000024187,26
0.000024258111,25
0.000024437,25
0.000024699,25
0.000024899,30
0.000024970111,29
0.000025213,29
0.000025284111,28
0.000025725,28
0.000025796111,27
0.000025975,27
0.000026237,27
0.000026308111,26
0.000026625,29
0.000026749,29
0.000027263,29
0.000027334111,28
0.000027405222,27
0.000027513,27
0.000027775,27
0.000027846111,26
0.000028287,26
0.000028358111,25
0.000028673,29
0.000028799,29
0.000029049,29
0.000029120111,28
0.000029313,28
0.000029384111,27
0.000029825,27
0.000029896111,26
0.000030337,26
0.000030408111,25
0.000030587,25
0.000030849,25
0.000031049,30
0.000031120111,29
0.000031363,29
0.000031434111,28
0.000031875,28
0.000031946111,27
0.000032125,27
0.000032387,27
0.000032458111,26
0.000032769,29
0.000032899,29
0.000033413,29
0.000033484111,28
0.000033555222,27
0.000033663,27
0.000033925,27
0.000033996111,26
0.000034437,26
0.000034508111,25
0.000034817,29
0.000034949,29
0.000035199,29
0.000035270111,28
0.000035463,28
0.000035534111,27
0.000035975,27
0.000036046111,26
0.000036487,26
0.000036558111,25
0.000036737,25
0.000036999,25
0.000037199,30
0.000037270111,29
0.000037513,29
0.000037584111,28
0.000038025,28
0.000038096111,27
0.000038275,27
0.000038537,27
0.000038608111,26
0.000038913,29
0.000039049,29
0.000039563,29
0.000039634111,28
0.000039705222,27
0.000039813,27
0.000040075,27
0.000040146111,26
0.000040587,26
0.000040658111,25
0.000040961,29
0.000041099,29
0.000041349,29
0.000041420111,28
0.000041613,28
0.000041684111,27
