time,demo_network.H_2.gen.Throughput
0.000025,40.0443
0.00005,39.9295
0.000075,39.7018
0.0001,39.5468
0.000125,39.3652
0.00015,38.3887
0.000175,38.0869
0.0002,37.0607
0.000225,36.2883
0.00025,35.4568
0.000275,34.1213
0.0003,33.1863
0.000325,31.7399
0.00035,30.7586
0.000375,29.7723
0.0004,28.7877
0.000425,27.8105
0.00045,26.8456
0.000475,24.9687
0.0005,24.5128
0.000525,23.1817
0.00055,21.9099
0.000575,21.0968
0.0006,20.3122
0.000625,19.5564
0.00065,19.1893
0.000675,18.4765
0.0007,17.4603
0.000725,17.1353
0.00075,16.201
0.000775,15.6109
0.0008,15.0459
0.000825,14.2438
0.00085,13.9881
0.000875,13.4935
0.0009,13.4935
0.000925,13.7381
0.00095,13.7381
0.000975,13.9881
0.001,13.9881
0.001025,14.2438
0.00105,14.5053
0.001075,14.5053
0.0011,14.7726
0.001125,15.0459
0.00115,15.0459
0.001175,15.3253
0.0012,15.3253
0.001225,15.6109
0.00125,15.9027
0.001275,15.9027
0.0013,16.201
0.001325,16.5058
0.00135,16.5058
0.001375,16.8172
0.0014,16.8172
0.001425,17.1353
0.00145,17.4603
0.001475,17.4603
0.0015,17.792
0.001525,18.1308
0.00155,18.1308
0.001575,18.4765
0.0016,18.4765
0.001625,18.8293
0.00165,19.1893
0.001675,19.1893
0.0017,19.5564
0.001725,19.9307
0.00175,19.9307
0.001775,20.3122
0.0018,20.3122
0.001825,20.7009
0.00185,20.7009
0.001875,19.9307
0.0019,19.5564
0.001925,18.8293
0.00195,17.792
0.001975,17.1353
0.002,16.8172
0.002025,16.5058
0.00205,16.5058
0.002075,16.5058
0.0021,16.8172
0.002125,17.1353
0.00215,17.1353
0.002175,17.4603
0.0022,17.4603
0.002225,17.792
0.00225,18.1308
0.002275,18.1308
0.0023,18.4765
0.002325,18.8293
0.00235,18.8293
0.002375,19.1893
0.0024,19.1893
0.002425,19.5564
0.00245,19.9307
0.002475,19.9307
0.0025,20.3122
0.002525,20.7009
0.00255,20.7009
0.002575,20.7009
0.0026,19.9307
0.002625,19.5564
0.00265,18.8293
0.002675,17.792
0.0027,17.4603
0.002725,16.8172
0.00275,16.5058
0.002775,16.8172
0.0028,16.8172
0.002825,17.1353
0.00285,17.4603
0.002875,17.4603
0.0029,17.792
0.002925,18.1308
0.00295,18.1308
0.002975,18.4765
0.003,18.4765
0.003025,18.8293
0.00305,19.1893
0.003075,19.1893
0.0031,19.5564
0.003125,19.9307
0.00315,19.9307
0.003175,20.3122
0.0032,20.3122
0.003225,20.7009
0.00325,20.7009
0.003275,20.7009
0.0033,20.3122
0.003325,19.1893
0.00335,18.1308
0.003375,17.792
0.0034,17.1353
0.003425,16.8172
0.00345,16.8172
0.003475,16.8172
0.0035,17.1353
0.003525,17.4603
0.00355,17.4603
0.003575,17.792
0.0036,17.792
0.003625,18.1308
0.00365,18.4765
0.003675,18.4765
0.0037,18.8293
0.003725,19.1893
0.00375,19.1893
0.003775,19.5564
0.0038,19.5564
0.003825,19.9307
0.00385,20.3122
0.003875,20.3122
0.0039,20.7009
0.003925,21.0968
0.00395,21.0968
0.003975,21.4998
0.004,21.4998
0.004025,20.7009
0.00405,20.3122
0.004075,18.8293
0.0041,18.1308
0.004125,17.4603
0.00415,16.5058
0.004175,16.5058
0.0042,16.5058
0.004225,16.8172
0.00425,17.1353
0.004275,17.1353
0.0043,17.4603
0.004325,17.792
0.00435,17.792
0.004375,18.1308
0.0044,18.1308
0.004425,18.4765
0.00445,18.8293
0.004475,18.8293
0.0045,19.1893
0.004525,19.5564
0.00455,19.5564
0.004575,19.9307
0.0046,19.9307
0.004625,20.3122
0.00465,20.7009
0.004675,20.7009
0.0047,21.0968
0.004725,21.0968
0.00475,20.3122
0.004775,19.9307
0.0048,19.5564
0.004825,18.4765
0.00485,17.792
0.004875,17.1353
0.0049,17.4603
0.004925,17.792
0.00495,17.792
0.004975,18.1308
0.005,18.1308
0.005025,18.4765
0.00505,18.8293
0.005075,18.8293
0.0051,19.1893
0.005125,19.5564
0.00515,19.5564
