time,demo_network.H_6.gen.Throughput
0.020025,40.0443
0.02005,40.0443
0.020075,39.9295
0.0201,39.9295
0.020125,39.9295
0.02015,39.9295
0.020175,39.7018
0.0202,39.5468
0.020225,39.3652
0.02025,39.1577
0.020275,38.9251
0.0203,38.6685
0.020325,38.3887
0.02035,37.7642
0.020375,38.0869
0.0204,37.4217
0.020425,37.0607
0.02045,37.4217
0.020475,37.0607
0.0205,37.4217
0.020525,37.0607
0.02055,37.0607
0.020575,36.6825
0.0206,35.8793
0.020625,35.8793
0.02065,35.4568
0.020675,34.5766
0.0207,34.1213
0.020725,34.1213
0.02075,33.1863
0.020775,33.1863
0.0208,32.7089
0.020825,31.7399
0.02085,32.2265
0.020875,31.2503
0.0209,30.7586
0.020925,30.2656
0.02095,29.2794
0.020975,29.7723
0.021,29.2794
0.021025,29.2794
0.02105,29.2794
0.021075,28.7877
0.0211,28.2979
0.021125,28.2979
0.02115,27.8105
0.021175,27.3263
0.0212,25.8972
0.021225,25.4303
0.02125,24.9687
0.021275,24.9687
0.0213,24.9687
0.021325,24.9687
0.02135,24.0628
0.021375,23.619
0.0214,23.1817
0.021425,23.1817
0.02145,22.7509
0.021475,22.327
0.0215,21.9099
0.021525,21.9099
0.02155,21.0968
0.021575,21.4998
0.0216,20.7009
0.021625,21.0968
0.02165,21.4998
0.021675,21.4998
0.0217,21.4998
0.021725,21.4998
0.02175,21.4998
0.021775,21.9099
0.0218,21.0968
0.021825,21.0968
0.02185,20.7009
0.021875,19.9307
0.0219,19.5564
0.021925,19.5564
0.02195,18.8293
0.021975,18.4765
0.022,18.4765
0.022025,17.792
0.02205,17.4603
0.022075,17.1353
0.0221,17.1353
0.022125,17.1353
0.02215,16.5058
0.022175,16.201
0.0222,15.9027
0.022225,15.9027
0.02225,15.9027
0.022275,15.6109
0.0223,15.6109
0.022325,15.0459
0.02235,15.0459
0.022375,15.3253
0.0224,14.5053
0.022425,14.7726
0.02245,14.7726
0.022475,13.9881
0.0225,13.7381
0.022525,13.4935
0.02255,13.0204
0.022575,13.2543
0.0226,12.7917
0.022625,12.3494
0.02265,12.5681
0.022675,11.9264
0.0227,11.9264
0.022725,11.5219
0.02275,11.135
0.022775,10.7649
0.0228,10.7649
0.022825,10.4109
