time,demo_network.SW_2.port[1].ibuf.inputQueueLength
0.020008513,0
0.0200101514,0
0.0200117898,0
0.0200134282,0
0.0200150666,0
0.020016705,0
0.0200183434,0
0.0200199818,0
0.0200216202,0
0.0200232586,0
0.020024897,0
0.0200265354,0
0.0200281738,0
0.0200298122,0
0.0200314506,0
0.020033089,0
0.0200347274,0
0.0200363658,0
0.0200380042,0
0.0200396426,0
0.020041281,0
0.0200429194,0
0.0200445578,0
0.0200461962,0
0.0200478346,0
0.020049473,0
0.0200511114,0
0.0200527498,0
0.0200543882,0
0.0200560266,0
0.020057665,0
0.0200593098,0
0.0200609482,0
0.0200625866,0
0.020064225,0
0.0200658634,0
0.0200675018,0
0.0200691402,0
0.0200707786,0
0.020072417,0
0.0200740554,0
0.0200756938,0
0.0200773322,0
0.0200789706,0
0.020080609,0
0.0200822474,0
0.0200838858,0
0.0200855242,0
0.0200871626,0
0.020088801,0
0.0200904394,0
0.0200920778,0
0.0200937162,0
0.0200953546,0
0.020096993,0
0.0200986314,0
0.0201002698,0
0.0201019082,0
0.0201035466,0
0.020105185,0
0.0201068234,0
0.0201084682,0
0.0201101066,0
0.020111745,0
0.0201133834,0
0.0201150218,0
0.0201166602,0
0.0201182986,0
0.020119937,0
0.0201215754,0
0.0201232138,0
0.0201248522,0
0.0201264906,0
0.020128129,0
0.0201297674,0
0.0201314058,1
0.0201330442,3
0.0201346826,5
0.020136321,7
0.0201379594,9
0.0201395978,11
0.0201412362,13
0.0201428746,15
0.020144513,17
0.0201461514,19
0.0201477898,21
0.0201494282,23
0.0201510666,25
0.020152705,27
0.0201543434,29
0.0201559818,31
0.0201576202,33
0.020159265,31
0.0201609034,28
0.0201625418,25
0.0201641802,22
0.0201658186,20
0.020167457,22
0.0201690954,24
0.0201707338,26
0.0201723722,28
0.0201740106,30
0.020175649,32
0.0201772874,34
0.0201789258,36
0.0201805642,38
0.0201822026,40
0.020183841,42
0.0201854794,44
0.0201871178,46
0.0201887562,48
0.0201903946,50
0.020192033,52
0.0201936714,54
0.0201953098,56
0.0201969482,58
0.0201985866,60
0.020200225,62
0.0202018634,64
0.0202035018,66
0.0202051402,68
0.0202067786,70
0.0202084234,70
0.0202100618,67
0.0202117002,65
0.0202133386,62
0.020214977,59
0.0202166154,60
0.0202182538,62
0.0202198922,64
0.0202215306,66
0.020223169,68
0.0202248074,70
0.0202264458,72
0.0202280842,74
0.0202297226,76
0.020231361,78
0.0202329994,80
0.0202346378,82
0.0202362762,84
0.0202379146,86
0.020239553,88
0.0202411914,90
0.0202428298,92
0.0202444682,94
0.0202461066,96
0.020247745,98
0.0202493834,100
0.0202510218,102
0.0202526602,104
0.0202542986,106
0.020255937,108
0.0202575754,110
0.0202592202,108
0.0202608586,105
0.020262497,102
0.0202641354,100
0.0202657738,97
0.0202674122,98
0.0202690506,100
0.020270689,102
0.0202723274,104
0.0202739658,106
0.0202756042,108
0.0202772426,110
0.020278881,112
0.0202805194,114
0.0202821578,116
0.0202837962,118
0.0202854346,120
0.020287073,122
0.0202887114,124
0.0202903498,126
0.020292003,128
0.020293699,130
0.020295395,132
0.020297091,134
0.020298787,136
0.020300483,138
0.020302179,140
0.020303875,142
0.020305571,144
0.020307267,146
0.020308963,145
0.0203106014,142
0.0203122398,139
0.0203138782,136
0.020315573,134
0.020317269,136
0.020318965,138
0.020320661,140
0.020322357,142
0.020324053,144
0.020325749,146
0.020327445,148
0.020329141,150
0.020330837,152
0.020332533,154
0.020334229,156
0.020335925,158
0.020337621,160
0.020339317,162
0.020341013,164
0.020342767,166
0.020344521,168
0.020346275,170
0.020348029,172
0.020349783,174
0.020367213,154
0.0203688514,156
0.0203704898,158
0.0203721282,160
0.0203737666,162
0.020375405,164
0.0203770434,166
0.0203786818,168
0.0203803202,170
0.0203819586,172
0.020383597,174
0.020416001,153
0.0204176394,155
0.0204192778,157
0.0204209162,159
0.0204225546,161
0.020424193,163
0.0204258314,165
0.0204274698,167
0.0204291082,169
0.0204307466,171
0.020432385,173
0.0204340234,174
0.020466001,153
0.0204676394,155
0.0204692778,157
0.0204709162,159
0.0204725546,161
0.020474193,163
0.0204758314,165
0.0204774698,167
0.0204791082,169
0.0204807466,171
0.020482385,173
0.020516001,153
0.0205176394,155
0.0205192778,157
0.0205209162,159
0.0205225546,161
0.020524193,163
0.0205258314,165
0.0205274698,167
0.0205291082,169
0.0205307466,171
0.020532385,173
0.0205340234,174
0.020566001,153
0.0205676394,155
0.0205692778,157
0.0205709162,159
0.0205725546,161
0.020574193,163
0.0205758314,165
0.0205774698,167
0.0205791082,169
0.0205807466,171
0.020582385,173
0.020616001,156
0.0206176394,158
0.0206192778,160
0.0206209162,162
0.0206225546,164
0.020624193,166
0.0206258314,168
0.0206274698,170
0.0206291082,172
0.0206307466,174
0.020632385,176
0.0206340234,177
0.020666001,160
0.0206676394,162
0.0206692778,164
0.0206709162,166
0.0206725546,168
0.020674193,170
0.0206758314,172
0.0206774698,174
0.0206791082,176
0.0206807466,178
0.020716001,163
0.0207176394,165
0.0207192778,167
0.0207209162,169
0.0207225546,171
0.020724193,173
0.0207258314,175
0.0207274698,177
0.0207291082,179
0.020766001,166
0.0207676394,168
0.0207692778,170
0.0207709162,172
0.0207725546,174
0.020774193,176
0.0207758314,178
0.0207774698,180
0.0207791082,181
0.020816001,167
0.0208176394,169
0.0208192778,171
0.0208209162,173
0.0208225546,175
0.020824193,177
0.0208258314,179
0.0208274698,181
0.020866001,168
0.0208676394,170
