time,demo_network.H_1.obuf.Throughput-obuf
0.000200001,4.9984e+009
0.000400001,4.91648e+009
0.000600001,4.91648e+009
0.000800001,4.91648e+009
0.001000001,4.9984e+009
0.001200001,4.91648e+009
0.001400001,4.91648e+009
0.001600001,4.91648e+009
0.001800001,4.9984e+009
0.002000001,4.91648e+009
0.002200001,4.91648e+009
0.002400001,4.91648e+009
0.002600001,4.91648e+009
0.002800001,4.9984e+009
0.003000001,4.91648e+009
0.003200001,4.91648e+009
0.003400001,4.91648e+009
0.003600001,4.9984e+009
0.003800001,4.91648e+009
0.004000001,4.91648e+009
0.004200001,4.91648e+009
0.004400001,4.9984e+009
0.004600001,4.91648e+009
0.004800001,4.91648e+009
0.005000001,4.91648e+009
0.005200001,4.9984e+009
0.005400001,4.91648e+009
0.005600001,4.91648e+009
0.005800001,4.91648e+009
0.006000001,4.9984e+009
0.006200001,4.91648e+009
0.006400001,4.91648e+009
0.006600001,4.91648e+009
0.006800001,4.9984e+009
0.007000001,4.91648e+009
0.007200001,4.91648e+009
0.007400001,4.91648e+009
0.007600001,4.9984e+009
0.007800001,4.91648e+009
0.008000001,4.91648e+009
0.008200001,4.91648e+009
0.008400001,4.91648e+009
0.008600001,4.9984e+009
0.008800001,4.91648e+009
0.009000001,4.91648e+009
0.009200001,4.91648e+009
0.009400001,4.9984e+009
0.009600001,4.91648e+009
0.009800001,4.91648e+009
0.010000001,4.91648e+009
0.010200001,4.9984e+009
0.010400001,4.91648e+009
0.010600001,4.91648e+009
0.010800001,4.91648e+009
0.011000001,4.9984e+009
0.011200001,4.91648e+009
0.011400001,4.91648e+009
0.011600001,4.91648e+009
0.011800001,4.9984e+009
0.012000001,4.91648e+009
0.012200001,4.91648e+009
0.012400001,4.91648e+009
0.012600001,4.9984e+009
0.012800001,4.91648e+009
0.013000001,4.91648e+009
0.013200001,4.91648e+009
0.013400001,4.91648e+009
0.013600001,4.9984e+009
0.013800001,4.91648e+009
0.014000001,4.91648e+009
0.014200001,4.91648e+009
0.014400001,4.9984e+009
0.014600001,4.91648e+009
0.014800001,4.91648e+009
0.015000001,4.91648e+009
0.015200001,4.9984e+009
0.015400001,4.91648e+009
0.015600001,4.91648e+009
0.015800001,4.91648e+009
0.016000001,4.9984e+009
0.016200001,4.91648e+009
0.016400001,4.91648e+009
0.016600001,4.91648e+009
0.016800001,4.9984e+009
0.017000001,4.91648e+009
0.017200001,4.91648e+009
0.017400001,4.91648e+009
0.017600001,4.9984e+009
