time,demo_network.H_4.obuf.Throughput-obuf
0.000200001,320000
0.000400001,0
0.000600001,0
0.000800001,0
0.001000001,0
0.001200001,0
0.001400001,0
0.001600001,0
0.001800001,0
0.002000001,0
0.002200001,0
0.002400001,0
0.002600001,0
0.002800001,0
0.003000001,0
0.003200001,0
0.003400001,0
0.003600001,0
0.003800001,0
0.004000001,0
0.004200001,0
0.004400001,0
0.004600001,0
0.004800001,0
0.005000001,0
0.005200001,0
0.005400001,0
0.005600001,0
0.005800001,0
0.006000001,0
0.006200001,0
0.006400001,0
0.006600001,0
0.006800001,0
0.007000001,0
0.007200001,0
0.007400001,0
0.007600001,0
0.007800001,0
0.008000001,0
0.008200001,0
0.008400001,0
0.008600001,0
0.008800001,0
0.009000001,0
0.009200001,0
0.009400001,0
0.009600001,0
0.009800001,0
0.010000001,0
0.010200001,0
0.010400001,0
0.010600001,0
0.010800001,0
0.011000001,0
0.011200001,0
0.011400001,0
0.011600001,0
0.011800001,0
0.012000001,0
0.012200001,0
0.012400001,0
0.012600001,0
0.012800001,0
0.013000001,0
0.013200001,0
0.013400001,0
0.013600001,0
0.013800001,0
0.014000001,0
0.014200001,0
0.014400001,0
0.014600001,0
0.014800001,0
0.015000001,0
0.015200001,0
0.015400001,0
0.015600001,0
0.015800001,0
0.016000001,0
0.016200001,0
0.016400001,0
0.016600001,0
0.016800001,0
0.017000001,0
0.017200001,0
0.017400001,0
0.017600001,0
0.017800001,0
0.018000001,0
0.018200001,0
0.018400001,0
0.018600001,0
0.018800001,0
0.019000001,0
0.019200001,0
0.019400001,0
0.019600001,0
0.019800001,0
0.020000001,0
0.020200001,9.9952e+009
0.020400001,4.9984e+009
0.020600001,2.45888e+009
0.020800001,2.5408e+009
0.021000001,2.45888e+009
0.021200001,2.5408e+009
0.021400001,2.45888e+009
0.021600001,2.5408e+009
0.021800001,2.45888e+009
0.022000001,2.5408e+009
0.022200001,2.45888e+009
0.022400001,2.5408e+009
0.022600001,2.45888e+009
0.022800001,2.5408e+009
0.023000001,2.5408e+009
0.023200001,2.45888e+009
0.023400001,2.5408e+009
0.023600001,2.45888e+009
0.023800001,2.5408e+009
0.024000001,2.45888e+009
0.024200001,2.5408e+009
0.024400001,2.45888e+009
0.024600001,2.5408e+009
0.024800001,2.45888e+009
0.025000001,2.5408e+009
0.025200001,2.45888e+009
0.025400001,2.5408e+009
0.025600001,2.45888e+009
0.025800001,2.5408e+009
0.026000001,2.45888e+009
0.026200001,2.29504e+009
0.026400001,2.37696e+009
0.026600001,2.29504e+009
0.026800001,2.29504e+009
0.027000001,2.29504e+009
0.027200001,2.37696e+009
0.027400001,2.29504e+009
0.027600001,2.29504e+009
0.027800001,2.29504e+009
0.028000001,2.29504e+009
0.028200001,2.37696e+009
0.028400001,2.29504e+009
0.028600001,2.29504e+009
0.028800001,2.29504e+009
0.029000001,2.37696e+009
0.029200001,2.29504e+009
0.029400001,2.29504e+009
0.029600001,2.29504e+009
0.029800001,2.37696e+009
0.030000001,2.29504e+009
0.030200001,2.29504e+009
0.030400001,2.29504e+009
0.030600001,2.29504e+009
0.030800001,2.37696e+009
0.031000001,2.29504e+009
0.031200001,2.29504e+009
0.031400001,2.29504e+009
0.031600001,2.37696e+009
0.031800001,2.29504e+009
0.032000001,2.29504e+009
0.032200001,2.29504e+009
0.032400001,2.37696e+009
0.032600001,2.29504e+009
0.032800001,2.29504e+009
0.033000001,2.29504e+009
0.033200001,2.29504e+009
0.033400001,2.37696e+009
0.033600001,2.29504e+009
0.033800001,2.29504e+009
0.034000001,2.29504e+009
0.034200001,2.37696e+009
0.034400001,2.29504e+009
0.034600001,2.29504e+009
0.034800001,2.29504e+009
0.035000001,2.29504e+009
0.035200001,2.37696e+009
0.035400001,2.29504e+009
0.035600001,2.29504e+009
0.035800001,2.29504e+009
0.036000001,2.37696e+009
0.036200001,2.37696e+009
0.036400001,2.45888e+009
0.036600001,2.5408e+009
0.036800001,2.62272e+009
0.037000001,2.78656e+009
0.037200001,2.86848e+009
0.037400001,2.78656e+009
0.037600001,2.78656e+009
0.037800001,2.62272e+009
0.038000001,2.62272e+009
0.038200001,2.45888e+009
0.038400001,2.37696e+009
0.038600001,2.37696e+009
0.038800001,2.29504e+009
0.039000001,2.29504e+009
0.039200001,2.37696e+009
0.039400001,2.29504e+009
0.039600001,2.29504e+009
0.039800001,2.29504e+009
0.040000001,2.29504e+009
0.040200001,2.37696e+009
0.040400001,2.45888e+009
0.040600001,2.45888e+009
0.040800001,2.62272e+009
0.041000001,2.70464e+009
0.041200001,2.78656e+009
0.041400001,2.86848e+009
0.041600001,2.70464e+009
0.041800001,2.70464e+009
0.042000001,2.62272e+009
0.042200001,2.45888e+009
0.042400001,2.37696e+009
0.042600001,2.37696e+009
0.042800001,2.29504e+009
0.043000001,2.37696e+009
0.043200001,2.29504e+009
0.043400001,2.29504e+009
0.043600001,2.29504e+009
0.043800001,2.37696e+009
0.044000001,2.29504e+009
0.044200001,2.29504e+009
0.044400001,2.45888e+009
0.044600001,2.45888e+009
0.044800001,2.62272e+009
0.045000001,2.70464e+009
0.045200001,2.78656e+009
0.045400001,2.86848e+009
0.045600001,2.78656e+009
0.045800001,2.62272e+009
0.046000001,2.62272e+009
0.046200001,2.45888e+009
0.046400001,2.45888e+009
0.046600001,2.29504e+009
0.046800001,2.37696e+009
0.047000001,2.29504e+009
0.047200001,2.29504e+009
0.047400001,2.29504e+009
0.047600001,2.37696e+009
0.047800001,2.29504e+009
0.048000001,2.29504e+009
0.048200001,2.37696e+009
0.048400001,2.37696e+009
0.048600001,2.5408e+009
0.048800001,2.5408e+009
0.049000001,2.70464e+009
0.049200001,2.78656e+009
0.049400001,2.9504e+009
0.049600001,2.78656e+009
0.049800001,2.70464e+009
0.050000001,2.62272e+009
0.050200001,2.5408e+009
0.050400001,2.45888e+009
0.050600001,2.37696e+009
0.050800001,2.29504e+009
0.051000001,2.29504e+009
0.051200001,2.29504e+009
0.051400001,2.37696e+009
0.051600001,2.29504e+009
0.051800001,2.29504e+009
0.052000001,2.37696e+009
0.052200001,2.29504e+009
0.052400001,2.37696e+009
0.052600001,2.5408e+009
0.052800001,2.62272e+009
0.053000001,2.70464e+009
0.053200001,2.78656e+009
0.053400001,2.86848e+009
0.053600001,2.86848e+009
0.053800001,2.70464e+009
0.054000001,2.62272e+009
0.054200001,2.5408e+009
0.054400001,2.45888e+009
0.054600001,2.37696e+009
0.054800001,2.29504e+009
0.055000001,2.37696e+009
0.055200001,2.29504e+009
0.055400001,2.29504e+009
0.055600001,2.29504e+009
0.055800001,2.37696e+009
0.056000001,2.29504e+009
0.056200001,2.37696e+009
0.056400001,2.5408e+009
0.056600001,2.5408e+009
0.056800001,2.70464e+009
0.057000001,2.70464e+009
0.057200001,2.9504e+009
0.057400001,2.86848e+009
0.057600001,2.78656e+009
0.057800001,2.70464e+009
0.058000001,2.62272e+009
0.058200001,2.5408e+009
0.058400001,2.45888e+009
0.058600001,2.37696e+009
0.058800001,2.29504e+009
0.059000001,2.37696e+009
0.059200001,2.29504e+009
0.059400001,2.29504e+009
0.059600001,2.29504e+009
0.059800001,2.37696e+009
0.060000001,2.29504e+009
0.060200001,2.37696e+009
0.060400001,2.37696e+009
0.060600001,2.5408e+009
0.060800001,2.62272e+009
0.061000001,2.70464e+009
0.061200001,2.86848e+009
0.061400001,2.86848e+009
0.061600001,2.70464e+009
0.061800001,2.70464e+009
0.062000001,2.5408e+009
0.062200001,2.45888e+009
0.062400001,2.45888e+009
0.062600001,2.29504e+009
0.062800001,2.29504e+009
0.063000001,2.37696e+009
0.063200001,2.29504e+009
0.063400001,2.29504e+009
0.063600001,2.29504e+009
0.063800001,2.29504e+009
0.064000001,2.37696e+009
0.064200001,2.29504e+009
0.064400001,2.45888e+009
0.064600001,2.5408e+009
0.064800001,2.62272e+009
0.065000001,2.70464e+009
0.065200001,2.86848e+009
0.065400001,2.86848e+009
0.065600001,2.78656e+009
0.065800001,2.70464e+009
0.066000001,2.5408e+009
0.066200001,2.5408e+009
0.066400001,2.45888e+009
0.066600001,2.29504e+009
0.066800001,2.37696e+009
0.067000001,2.29504e+009
0.067200001,2.29504e+009
0.067400001,2.29504e+009
0.067600001,2.29504e+009
0.067800001,2.37696e+009
0.068000001,2.29504e+009
0.068200001,2.37696e+009
0.068400001,2.45888e+009
0.068600001,2.45888e+009
0.068800001,2.62272e+009
0.069000001,2.78656e+009
0.069200001,2.78656e+009
0.069400001,2.86848e+009
0.069600001,2.78656e+009
0.069800001,2.70464e+009
0.070000001,2.5408e+009
0.070200001,2.5408e+009
0.070400001,2.37696e+009
0.070600001,2.37696e+009
0.070800001,2.29504e+009
0.071000001,2.29504e+009
0.071200001,2.29504e+009
0.071400001,2.37696e+009
0.071600001,2.29504e+009
0.071800001,2.29504e+009
0.072000001,2.29504e+009
0.072200001,2.37696e+009
0.072400001,2.45888e+009
0.072600001,2.5408e+009
0.072800001,2.62272e+009
0.073000001,2.70464e+009
0.073200001,2.86848e+009
0.073400001,2.86848e+009
0.073600001,2.86848e+009
0.073800001,2.78656e+009
0.074000001,2.62272e+009
0.074200001,2.5408e+009
0.074400001,2.5408e+009
0.074600001,2.37696e+009
0.074800001,2.37696e+009
0.075000001,2.29504e+009
0.075200001,2.29504e+009
0.075400001,2.29504e+009
0.075600001,2.37696e+009
0.075800001,2.29504e+009
0.076000001,2.29504e+009
0.076200001,2.29504e+009
0.076400001,2.37696e+009
0.076600001,2.45888e+009
0.076800001,2.45888e+009
0.077000001,2.62272e+009
0.077200001,2.78656e+009
0.077400001,2.78656e+009
0.077600001,2.86848e+009
0.077800001,2.70464e+009
0.078000001,2.62272e+009
0.078200001,2.62272e+009
0.078400001,2.45888e+009
0.078600001,2.37696e+009
0.078800001,2.29504e+009
0.079000001,2.37696e+009
0.079200001,2.29504e+009
0.079400001,2.29504e+009
0.079600001,2.29504e+009
0.079800001,2.37696e+009
0.080000001,2.29504e+009
0.080200001,2.29504e+009
0.080400001,2.37696e+009
0.080600001,2.45888e+009
0.080800001,2.5408e+009
0.081000001,2.70464e+009
0.081200001,2.70464e+009
0.081400001,2.86848e+009
0.081600001,2.86848e+009
0.081800001,2.70464e+009
0.082000001,2.62272e+009
0.082200001,2.62272e+009
0.082400001,2.45888e+009
0.082600001,2.37696e+009
0.082800001,2.37696e+009
0.083000001,2.29504e+009
0.083200001,2.29504e+009
0.083400001,2.29504e+009
0.083600001,2.29504e+009
0.083800001,2.37696e+009
0.084000001,2.29504e+009
0.084200001,2.29504e+009
0.084400001,2.37696e+009
0.084600001,2.37696e+009
0.084800001,2.5408e+009
0.085000001,2.5408e+009
0.085200001,2.70464e+009
0.085400001,2.78656e+009
